Internet Protocol Suite,Array data structure
Web browser,Approximation
Object (computer science),Computer vision
Question answering,HTML
Atomicity (database systems),Kinematics
Computer software,Automata theory
Personal computer,String (computer science)
Firewall (computing),Syntax
Turing machine,Human-computer interaction
Markov chain,Wavelet
Microcode,Fixed point (mathematics)
High-level programming language,Reinforcement learning
Graphics,Modular programming
Operating system,Complexity
3D computer graphics,Distributed computing
System call,Abstract data type
Boundary value problem,Data type
Economics,Kalman filter
Divide and conquer algorithm,Nonlinear system
Haskell (programming language),Traffic analysis
C (programming language),PSPACE
String (computer science),Random variable
Linear system,User interface
Assembly language,C (programming language)
Amortized analysis,hypothesis testing
Algorithm design,Routing
Relational model,Document classification
Statistics,Computer software
Data (computing),Semidefinite programming
Geometric modeling,Kinematics
NP-complete,Numerical analysis
Pushdown automata,Undecidable problem
Cluster analysis,Graph (mathematics)
Congestion control,Conditional probability
Functional programming,Mobile device
Information assurance,Genetic algorithm
Inheritance (object-oriented programming),PageRank
Variable (computer science),Cryptography
Recurrence relation,Graphics
Compiler optimization,Information theory
Microprocessor,System call
Linear programming,Computer
Graphics,Variable (computer science)
Predicate logic,Data
Routing,Mathematical optimization
Mathematics,Randomness
Newton's method,Telecommunications network
Lexical analysis,Decision theory
Data warehouse,Memory hierarchy
Abstract data type,Large deviations theory
Inheritance (object-oriented programming),Cloud computing
Database system,Genetic algorithm
Symbol table,Personal computer
Image,Bioinformatics
Array data structure,Mathematics
Lisp (programming language),Multiplication
Wireless sensor network,Entropy
Web search engine,Inter-process communication
Concurrency control,Malware
Cryptographic hash function,Lexical semantics
Routing,Probability
First-order logic,C (programming language)
PSPACE,Pushdown automata
Complexity,High-level programming language
Correlation and dependence,Quantum mechanics
Syntax,Prolog
Computer vision,Information assurance
Boundary value problem,Randomness
World Wide Web,Data
Packet switching,Message Passing Interface
Concurrency (computer science),Computational chemistry
Virtual memory,Model checking
Predicate logic,Information security
Denotational semantics,Dynamic programming
Memory hierarchy,Modular programming
Analysis of algorithms,Undecidable problem
Python (programming language),Linear algebra
Debugging,Server (computing)
Software development,Spanning tree
Fast Fourier transform,Interactivity
Parsing,Complexity
Linked list,Floating point
Parallel computing,Integer
Finite difference,Stochastic
Complexity class,Recurrence relation
Peer-to-peer,Computational science
Inequality (mathematics),Partial differential equation
