caltech_BE/CS 196,"Data (computing), Logic, Data, Computer science, Computer"
caltech_BE/CS/CNS/Bi 191,"Complexity, Computation"
caltech_CMS/CS 139,"Analysis of algorithms, Approximation"
caltech_CMS/CS/CNS/EE 155,"Data (computing), Data mining, Machine learning, Data"
caltech_CMS/CS/EE 144,"Graph (mathematics), Probability, Economics, Graph theory, Internet"
caltech_CS 1,"Computer programming, String (computer science), Programming language, Data (computing), Python (programming language), Data, Graphics, Debugging, Recursion, Computer, Input/output, Object-oriented programming, Recursion (computer science), Object (computer science)"
caltech_CS 101,"Computer science, Computer"
caltech_CS 11,"Programming language, Computer"
caltech_CS 115,"Data (computing), Abstraction (computer science), Functional programming, Data, Pattern matching, Recursion, Haskell (programming language), Recursion (computer science), Object (computer science), Lazy evaluation, Monad (functional programming)"
caltech_CS 116,"First-order logic, Logic, Semantics"
caltech_CS 118,"Formal verification, Model checking, Logic"
caltech_CS 119,"Software testing, Debugging"
caltech_CS 121,"Data (computing), Query language, Algebra, Transaction processing, Data, SQL, Database, Relational algebra, Relational database"
caltech_CS 122,"Transaction processing, Concurrency control, Concurrency (computer science), Database, Relational database, Database system, Software engineering"
caltech_CS 123,Database
caltech_CS 124,"Virtual memory, Abstraction (computer science), Memory management, Concurrency (computer science), Operating system, C (programming language), Kernel (computing), Scheduling (computing), Assembly language"
caltech_CS 138,"Complexity, Geometry, Randomization, String (computer science), Linear programming, Data (computing), Cryptography, Algebra, Coding theory, Data, Linear algebra, Analysis of algorithms, Computer, Number theory"
caltech_CS 142,"Cloud computing, Data (computing), Statistics, Machine learning, Data, Computing, Distributed computing"
caltech_CS 150,"Communication, Probability, Computation"
caltech_CS 151,"Complexity, Randomness"
caltech_CS 153,"Theoretical computer science, Computer science, Computer"
caltech_CS 176,"Computer graphics, Image, Geometric modeling, Motion capture, Graphics, Computer, Rendering (computer graphics)"
caltech_CS 2,"Data (computing), Algorithm, Dynamic programming, Data, Computer science, Algorithm design, Concurrency (computer science), Debugging, Recursion, Computer, Recursion (computer science), Computation"
caltech_CS 21,"Computer science, Computer, NP (complexity), Computation"
caltech_CS 24,"Communication, Interface (computing), Computer, Computing, Computer architecture"
caltech_CS 3,Software engineering
caltech_CS 38,"Introduction to Algorithms, Linear programming, Graph (mathematics), Dynamic programming, NP (complexity)"
caltech_CS 4,"Complexity, Computer programming, Programming language, Data (computing), Abstraction (computer science), Functional programming, Data, Recursion, Computer, Object-oriented programming, Recursion (computer science), Object (computer science), Computation"
caltech_CS/CNS 171,"Computer graphics, Visualization (computer graphics), Image, Graphics, Pipeline (computing), Computer, Scientific visualization, Shading"
caltech_CS/CNS 174,"Computer graphics, Algorithm, Graphics, Computer, Rendering (computer graphics)"
caltech_CS/CNS/EE 156,"Statistics, Approximation, Pattern recognition, Computation"
caltech_CS/EE 143,"Congestion control, Communication, Routing, Internet"
caltech_CS/EE 146,Internet
