source_node_id,target_node_id
86,25
24,28
14,35
6,41
100,25
57,38
11,44
61,50
78,57
15,20
33,25
70,45
6,57
69,39
86,41
11,63
6,25
36,49
34,2
29,87
48,22
10,26
7,44
12,21
2,22
9,94
29,64
56,25
34,28
15,45
86,38
80,25
23,45
8,40
12,31
11,91
50,20
23,44
71,22
63,20
15,35
91,45
6,35
33,26
29,59
2,64
58,45
53,79
34,77
69,21
15,39
74,25
48,28
59,24
8,26
0,49
41,20
10,49
53,25
37,25
86,40
83,26
80,65
5,45
1,26
26,25
38,45
70,21
6,22
36,10
16,22
78,45
48,2
78,20
56,10
43,44
0,10
9,95
29,22
69,44
56,42
1,25
36,22
85,81
29,2
8,50
6,26
37,22
48,77
8,25
39,21
83,22
37,49
1,49
38,41
15,55
51,64
15,98
53,10
83,49
69,43
26,22
0,25
65,25
18,82
18,21
46,22
44,45
11,38
61,20
15,96
6,20
69,45
37,10
57,45
18,45
33,22
24,22
56,22
1,10
16,45
59,77
70,44
30,40
14,21
10,25
80,88
71,26
71,25
11,35
16,10
16,35
35,44
11,57
36,25
15,43
8,56
59,64
34,59
51,24
5,55
34,64
29,34
8,20
14,44
100,40
1,22
15,44
24,2
83,25
29,24
9,73
9,66
63,41
4,39
5,44
11,3
67,20
4,21
34,87
48,24
33,10
11,41
6,91
80,22
8,2
54,64
59,2
81,60
74,26
15,21
17,60
43,39
78,41
23,35
56,49
65,88
34,21
0,22
16,44
35,45
10,22
6,45
24,77
86,45
68,21
53,22
6,21
65,66
8,10
84,31
34,24
11,20
14,45
46,25
0,26
91,20
59,28
13,49
8,28
11,45
46,26
7,58
19,76
8,77
8,49
83,10
11,78
6,44
33,49
67,45
13,22
37,45
7,21
8,22
58,35
28,64
8,42
78,38
53,26
16,25
18,35
18,44
40,25
51,77
8,64
29,21
67,41
30,25
57,41
