A,B,result,RefD
Probability density function,Boosting (machine learning),0,-0.048770711
Statistical classification,F1 score,0,-0.359470461
Null hypothesis,Statistical hypothesis testing,0,0.555143508
Poisson regression,Arithmetic mean,1,-0.086563166
Positive and negative predictive values,Confusion matrix,0,0.162374562
Data analysis,DBSCAN,0,-0.04587102
Backpropagation,Ensemble learning,0,0.169164667
Conditional independence,Naive Bayes classifier,0,-0.06042014
Mixture model,Mode (statistics),0,0.161448623
Statistical hypothesis testing,Sample (statistics),1,-0.116808443
Accuracy and precision,False positives and false negatives,0,-0.133254832
Joint probability distribution,Boosting (machine learning),0,-0.041158729
Random forest,Regression analysis,0,0.36213253
Median,Central tendency,0,-0.186450328
Backpropagation,Machine learning,1,0.387091722
Machine learning,Pruning (decision trees),0,-0.371059996
Probability density function,Posterior probability,0,0.002375891
Principal component analysis,Data reduction,0,-0.080843159
Posterior probability,Prior probability,0,0.240544426
Statistical classification,Multiclass classification,0,-0.69957946
Gradient descent,Linear regression,0,0.25465972
Hierarchical clustering,Mixture model,0,0.006413148
Statistical classification,Precision and recall,0,-0.310469435
Expert system,Machine learning,0,0.070707288
Artificial neural network,Support vector machine,0,-0.201441894
Naive Bayes classifier,Conditional probability distribution,1,0.077762774
OPTICS algorithm,Single-linkage clustering,0,-0.049609105
Boosting (machine learning),AdaBoost,0,-0.140478081
Conditional probability distribution,Poisson regression,0,0.086837057
Least squares,Arithmetic mean,1,0.353777083
Maximum likelihood,Likelihood function,1,0.456181303
Biclustering,Hierarchical clustering,0,0.012494358
Bayes' theorem,Bayesian network,0,-0.162065384
Bayesian network,Joint probability distribution,1,0.052766345
Artificial neural network,Backpropagation,0,-0.362802498
Apriori algorithm,Association rule learning,1,-0.010137613
Joint probability distribution,Conditional probability distribution,0,-0.20489453
Expectation–maximization algorithm,Maximum likelihood,1,0.010317887
Decision tree learning,Pruning (decision trees),0,-0.258920333
Random forest,Conditional probability,1,0.03831307
Hierarchical clustering,Arithmetic mean,1,0.054614942
Stepwise regression,Statistical model,0,0.345188326
Multiclass classification,Probability density function,1,0.048524343
Naive Bayes classifier,Maximum likelihood,1,0.024754641
Pruning (decision trees),Decision tree,1,0.102244511
Boosting (machine learning),Bootstrap aggregating,0,-0.073231788
Poisson regression,Conditional probability distribution,1,-0.086837057
Cluster analysis,K-medoids,0,-0.351234756
Backpropagation,Nonlinear system,0,0.009741015
Bayesian network,Bayes' theorem,1,0.162065384
Median,Interquartile range,0,-0.257907316
Naive Bayes classifier,Arithmetic mean,1,0.076410597
Hill climbing,Gradient descent,0,0.271355171
Clustering high-dimensional data,Data analysis,1,0.070426145
False positives and false negatives,Positive and negative predictive values,0,0.085071538
Precision and recall,Confidence interval,1,0.130782633
Descriptive statistics,Interquartile range,0,-0.103035494
Artificial neural network,Posterior probability,0,0.036544963
F1 score,Information retrieval,1,0.166099883
Statistical significance,Standard deviation,1,0.508547471
Gradient descent,Artificial neural network,0,0.254912346
Naive Bayes classifier,Support vector machine,0,-0.248950075
Standard deviation,Correlation and dependence,0,-0.511175327
Cluster analysis,Correlation and dependence,1,-0.542027303
Linear separability,Machine learning,0,0.320363257
Statistical classification,Feedforward neural network,0,-0.349379921
Confidence interval,Bayes' theorem,0,-0.017602877
Feedforward neural network,Joint probability distribution,1,-0.003390779
Data matrix (multivariate statistics),Linear regression,0,-0.041002221
Bayesian network,Standard deviation,0,0.04515488
Probability density function,Conditional probability distribution,0,-0.197520149
Correlation and dependence,Single-linkage clustering,0,-0.033189077
Sensitivity and specificity,Statistical classification,1,0.217497094
K-means clustering,Data mining,0,-0.009919884
Confidence interval,Standard deviation,1,0.135489561
Regression analysis,Outlier,0,-0.17702633
Mixture model,Bayesian network,0,0.029216755
Interquartile range,Descriptive statistics,1,0.103035494
F1 score,Statistical population,1,0.180734058
Probability density function,Joint probability distribution,0,-0.297058314
Anomaly detection,Arithmetic mean,1,0.022234994
Confidence interval,Joint probability distribution,0,-0.054271147
Joint probability distribution,Decision tree learning,0,-0.023972805
Precision and recall,Sample (statistics),1,0.115863257
Random forest,Probability density function,1,0.025395743
DBSCAN,Outlier,0,-0.007004771
Arithmetic mean,Data mining,0,-0.001813795
Standard deviation,Hierarchical clustering,0,-0.064159343
Artificial neural network,Prior probability,0,0.022776334
Poisson regression,Likelihood function,1,0.140666326
Level of measurement,Arithmetic mean,1,0.505520934
Central tendency,Descriptive statistics,0,0.051647929
Artificial neural network,Confidence interval,0,-0.001757832
Data analysis,Anomaly detection,0,-0.003110258
AdaBoost,Probability density function,1,0.018027049
Naive Bayes classifier,Information retrieval,0,0.020657729
Probability density function,Naive Bayes classifier,0,-0.116536568
Conditional probability,Conditional independence,0,-0.196378945
Statistical significance,Data analysis,0,0.023300235
DBSCAN,Minkowski distance,0,0.005096621
Likelihood function,Bayesian network,0,-0.178928648
Data mining,Regression analysis,1,0.082012295
Biclustering,Model selection,0,0.041840705
Type I and type II errors,Precision and recall,0,-0.085175699
Statistical population,Precision and recall,0,-0.183990355
Sensitivity and specificity,False positives and false negatives,1,-0.24242622
Regression analysis,Least squares,0,-0.423996288
Conditional probability distribution,Bayes' theorem,0,0.119989785
Bayesian network,Conditional independence,1,-0.04673885
Null hypothesis,Precision and recall,0,-0.053497962
Probability density function,Poisson regression,0,0.040271089
Regression analysis,Machine learning,0,-0.076014563
Precision and recall,Accuracy and precision,0,0.149640696
Decision tree learning,Bayesian network,0,0.310149802
Principal component analysis,Cluster analysis,0,-0.056167117
Association rule learning,Conditional probability,1,0.031436461
AdaBoost,Joint probability distribution,1,0.0
Conditional probability,Decision tree model,0,-0.037256596
Confidence interval,Data mining,0,-0.013978667
Anomaly detection,Support vector machine,0,-0.034054615
Mixture model,Naive Bayes classifier,0,-0.018217492
Conditional probability,Linear regression,0,-0.004654801
Fuzzy clustering,Standard deviation,1,0.092560829
Statistical classification,Backpropagation,0,-0.316256577
Interquartile range,Probability density function,0,-0.015904803
Cluster analysis,Outlier,0,-0.148141967
Decision tree,Pruning (decision trees),0,-0.102244511
Interquartile range,Standard deviation,0,0.27181235
Standard deviation,Single-linkage clustering,0,-0.033786426
Joint probability distribution,Conditional independence,0,-0.51685291
Standard deviation,Statistical significance,0,-0.508547471
DBSCAN,Anomaly detection,0,0.253710008
Statistical classification,Artificial neural network,0,-0.069691301
Regression analysis,Statistical significance,0,-0.533298032
Bayes' theorem,Prior probability,0,-0.06526478
Statistical hypothesis testing,Statistical significance,0,-0.489961362
Bayes' theorem,Conditional probability,1,-0.286460534
Random forest,Machine learning,1,0.370098227
Positive and negative predictive values,Learning rate,0,0.0
Standard deviation,Biclustering,0,-0.033306048
Conditional probability distribution,Posterior probability,0,0.021618517
Conditional independence,Probability density function,1,0.099223446
Naive Bayes classifier,Machine learning,1,0.029426864
Anomaly detection,Association rule learning,0,-0.132344619
Standard deviation,Cluster analysis,0,0.212536787
Hierarchical clustering,Correlation and dependence,1,0.017824363
F1 score,Type I and type II errors,1,0.085381906
Standard deviation,Spectral clustering,0,-0.034194988
Confidence interval,Statistical population,1,-0.114877335
Support vector machine,Hyperplane separation theorem,0,0.017243026
Artificial neural network,Probability density function,1,0.008834626
Data mining,Decision tree,0,-0.061853678
Spectral clustering,Dimensionality reduction,1,0.042994676
Regression analysis,Standard deviation,0,-0.169246857
Precision and recall,Null hypothesis,1,0.053497962
Pruning (decision trees),Backpropagation,0,0.207686433
Sensitivity and specificity,Accuracy and precision,0,0.08543996
Naive Bayes classifier,Prior probability,0,0.254743498
Pruning (decision trees),Statistical classification,1,0.318416954
Random forest,Decision tree,1,0.047543505
Confidence interval,Student's t-test,0,0.166204148
Statistical classification,Data mining,0,-0.126573573
Sample (statistics),Statistical significance,0,-0.505366714
Support vector machine,Cross-validation (statistics),0,0.080447049
Standard deviation,Naive Bayes classifier,0,-0.107393328
Quartile,Interquartile range,0,0.437210109
Machine learning,AdaBoost,0,-0.381036621
Biclustering,Arithmetic mean,1,0.03170394
Statistical significance,Sample (statistics),1,0.505366714
Likelihood function,Posterior probability,0,-0.077002696
Cluster analysis,DBSCAN,0,-0.446483053
Type I and type II errors,Statistical hypothesis testing,1,0.621057733
Bayes' theorem,Data mining,0,-0.002323095
Joint probability distribution,Naive Bayes classifier,0,-0.110129833
Bayes' theorem,Naive Bayes classifier,0,-0.288133608
Conditional probability,Association rule learning,0,-0.031436461
Likelihood function,Standard deviation,0,-0.035306423
DBSCAN,OPTICS algorithm,0,-0.086415792
Poisson regression,Gradient descent,0,-0.016956796
Data mining,Correlation and dependence,1,-0.020777724
Sample (statistics),Data mining,0,-0.02235686
Arithmetic mean,Hierarchical clustering,0,-0.054614942
Principal component analysis,Decision tree learning,0,-0.331708262
DBSCAN,Data analysis,1,0.04587102
Statistical classification,Regression analysis,0,0.165569715
