source_node_id,target_node_id
29,2
48,1
54,21
34,32
72,43
84,1
74,80
31,12
11,43
66,4
58,9
62,9
19,44
54,2
45,54
25,43
70,12
29,4
63,9
54,9
7,1
55,43
64,59
58,1
66,54
23,4
36,15
28,21
19,16
28,9
52,43
11,7
3,1
37,4
39,43
52,21
34,0
61,43
73,9
37,5
65,9
66,12
13,25
49,12
53,43
66,43
37,1
18,21
59,5
61,54
72,1
11,2
67,43
46,1
29,7
45,43
40,9
27,43
58,2
11,1
78,43
51,1
5,43
46,8
59,1
10,9
59,21
70,43
65,1
28,10
54,12
32,21
38,2
73,5
56,9
52,12
20,43
4,43
37,41
79,1
3,5
70,84
65,4
10,21
41,4
72,2
31,4
37,43
31,2
13,21
3,80
64,25
3,82
18,38
77,2
71,21
48,54
36,9
3,21
28,5
42,43
46,12
36,24
3,27
60,43
40,1
79,9
69,5
69,2
34,5
45,9
51,43
76,21
37,21
85,21
18,54
35,1
74,21
46,82
65,32
66,9
47,43
71,12
35,12
11,9
38,21
7,12
16,44
37,12
18,1
39,64
19,5
41,1
41,21
57,5
71,32
69,43
41,5
16,4
51,5
86,5
11,4
1,43
72,5
72,4
16,1
19,4
62,12
62,1
6,43
44,5
39,59
45,2
34,12
37,9
0,32
36,43
72,9
56,4
0,1
73,1
34,43
11,5
35,43
54,5
65,44
76,25
73,2
70,21
62,43
79,5
52,4
84,2
65,12
81,43
21,5
30,43
14,43
20,15
56,12
16,9
63,5
35,9
19,9
58,4
17,43
77,21
57,12
36,21
23,2
80,43
84,4
78,21
79,12
36,5
13,59
49,1
74,1
85,43
44,43
47,2
13,43
84,21
29,43
3,22
64,43
29,5
38,44
46,54
16,5
65,43
71,5
87,33
24,15
32,43
42,82
77,43
41,43
2,12
18,43
1,21
83,43
0,12
60,25
39,5
38,54
22,43
47,45
7,21
34,7
8,1
63,12
34,1
52,67
84,9
42,15
6,5
69,1
48,12
6,1
47,9
58,5
9,21
24,5
70,54
4,1
45,12
8,5
77,5
76,1
51,21
16,2
3,8
23,9
83,15
55,25
49,4
12,5
0,5
44,1
19,12
38,9
45,1
50,43
61,2
70,1
74,5
50,21
71,43
61,5
0,9
69,9
9,43
71,9
12,43
10,5
79,4
11,21
46,21
39,25
19,54
70,9
58,21
6,21
66,1
61,4
40,5
31,5
11,44
21,43
65,5
66,5
63,4
47,4
62,2
16,54
70,5
37,2
56,5
45,41
58,43
77,9
61,10
86,21
41,2
32,5
68,15
4,12
69,4
46,2
76,64
36,20
29,12
54,1
46,4
47,41
39,1
74,43
52,2
11,0
7,2
84,43
63,43
34,4
65,11
54,43
68,43
35,2
63,21
30,15
16,43
24,21
48,43
64,5
48,4
45,21
56,2
47,21
57,54
34,9
0,43
23,1
79,21
16,21
40,21
2,5
18,12
56,21
86,43
31,21
76,55
56,1
23,21
9,5
41,54
79,2
66,21
61,12
47,5
28,43
56,43
57,21
57,2
47,12
27,22
41,12
27,5
52,5
59,25
61,28
16,12
38,1
58,12
70,4
57,9
18,2
28,8
45,5
76,5
4,9
86,80
57,4
2,9
81,80
69,12
40,2
18,44
20,9
86,32
6,85
28,1
71,2
27,80
65,2
64,21
54,4
15,43
0,2
18,5
13,5
64,1
78,5
53,80
29,21
31,1
75,15
84,12
46,43
57,43
35,5
62,5
72,12
62,21
7,4
71,52
73,21
23,12
38,5
57,1
49,2
49,21
29,1
84,5
47,1
