A,B,result,RefD
Radius,Angle,0,0.120774473
Two-dimensional_space,Cartesian_coordinate_system,0,0.162177392
Diameter,Bisection,0,-0.185045013
Pythagorean_theorem,Parallelogram,0,0.060018067
Kite_(geometry),Edge_(geometry),1,0.160078871
Angle,Polyhedron,0,-0.030432575
Pentagon,Decagon,0,-0.253101439
Bisection,Diagonal,0,0.220301805
Line_(geometry),Parallelogram,0,0.179050885
Line_segment,Cone,0,-0.08985095
Equilateral_triangle,Angle,1,0.060718806
Rotation_(mathematics),Space_(mathematics),0,0.014768047
Triangle_inequality,Pythagorean_theorem,0,0.263741749
Circle,Arc_length,0,-0.074951485
Triangle_inequality,Distance,0,-0.012784872
Acute_and_obtuse_triangles,Right_triangle,0,0.151825913
Triangle,Line_(geometry),1,-0.202872187
Tangent,Arc_length,0,0.025391654
Point_(geometry),Equilateral_triangle,0,0.048678051
Angle,Rotation_(mathematics),0,-0.154853436
Symmetry,Scaling_(geometry),0,-0.042462667
Isosceles_triangle,Equilateral_triangle,0,-0.018407116
Rhombus,Parallel_(geometry),1,-0.024371135
Diagonal,Geometry,1,0.202253171
Line_segment,Octagon,0,-0.051658477
Internal_and_external_angle,Angle,1,0.181310141
Transversal_(geometry),Plane_(geometry),1,0.454007276
Angle,Reflection_(mathematics),0,-0.172250324
Point_(geometry),Triangle,0,0.144393163
Line_(geometry),Skew_lines,0,-0.278382985
Point_(geometry),Bisection,0,-0.205316254
Line_(geometry),Angle_bisector_theorem,0,-0.021436964
Tessellation,Symmetry,0,-0.046205285
Point_(geometry),Right_triangle,0,0.020099939
Convex_polygon,Vertex_(geometry),1,0.484410843
Triangle_inequality,Arc_length,0,2.36964e-05
Rectangle,Geometry,1,0.26646204
Perpendicular,Right_triangle,0,-0.085583423
Rhombus,Tangent,0,0.121381822
Angle,Acute_and_obtuse_triangles,0,-0.181433525
Isosceles_triangle,Polygon,1,-0.072412326
Geometry,Arc_length,0,-0.103325319
Decagon,Line_segment,1,0.129979891
Polygon,Space_(mathematics),0,-0.060076924
Rhombus,Polyhedron,0,0.165501447
Line_segment,Circle,0,0.114008999
Star_polygon,Line_segment,1,0.063338141
Polygon,Equilateral_triangle,0,0.225660348
Triangle,Hexagon,0,-0.155106404
Slope,Secant_line,0,-0.048383764
Pythagorean_triple,Right_angle,1,-0.056193427
Triangle,Rhombus,0,-0.225245082
Square,Acute_and_obtuse_triangles,0,-0.263423299
Triangle,Edge_(geometry),1,0.16405013
Point_(geometry),Collinearity,0,-0.100389733
Sine,Triangle,1,0.114083685
Pentagon,Circle,0,0.041666361
Right_triangle,Pythagorean_theorem,0,0.006005198
Symmetry,Geometry,1,0.076175919
Rotation_(mathematics),Cartesian_coordinate_system,0,0.072267555
Exterior_angle_theorem,Vertex_(geometry),1,0.053101077
Line_segment,Parallel_(geometry),0,0.012408736
Rotation_(mathematics),Distance,0,0.035461179
Line_segment,Triangle_inequality,0,-0.114069707
Trigonometric_functions,Chord_(geometry),0,0.05809309
Kite_(geometry),Polygon,1,-0.008943576
Nonagon,Line_segment,1,0.110771062
Face_(geometry),Line_segment,0,0.208519002
Geometry,Right_angle,0,-0.283738463
Line_segment,Pythagorean_theorem,0,0.066913803
Triangle,Line_segment,1,-0.117134182
Line_(geometry),Polyhedron,0,0.081358834
Angle,Rhombus,0,-0.18830634
Edge_(geometry),Pentagon,0,-0.248361497
Quadrilateral,Angle,1,0.158876253
Translation_(geometry),Geometry,1,0.09638432
Reflection_(mathematics),Rotation_(mathematics),1,0.080264267
Perpendicular,Chord_(geometry),0,-0.002775061
Decagon,Angle,1,0.149461509
Square,Coordinate_system,0,-0.054334758
Isosceles_triangle,Triangle,1,0.028849391
Tangent,Cone,0,-0.06768329
Altitude_(triangle),Circle,0,-0.032625587
Point_(geometry),Rectangle,0,0.133169827
Dodecagon,Polygon,1,0.094986194
Prism_(geometry),Cross_section_(geometry),0,0.000339283
Geometry,Inverse_trigonometric_functions,0,-0.060938667
Point_(geometry),Decagon,0,-0.017668389
Diameter,Circle,1,0.059617449
Bisection,Line_(geometry),1,0.208398585
Sine,Cartesian_coordinate_system,0,0.107340411
Vertex_(geometry),Altitude_(triangle),0,-0.225324784
Pythagorean_triple,Pythagorean_theorem,1,0.052292482
Reflection_(mathematics),Distance,0,0.027748088
Rotation_(mathematics),Translation_(geometry),0,-0.026550388
Bisection,Line_segment,1,0.201186006
Parallel_(geometry),Perpendicular,0,0.006609734
Cone,Polygon,0,0.19844371
Diameter,Circumference,0,-0.113464083
Circle,Cross_section_(geometry),0,-0.116021645
Polyhedron,Geometry,1,0.2864653
Angle,Coordinate_system,0,-0.079408212
Pythagorean_theorem,Rectangle,0,0.052810991
Triangle,Coordinate_system,0,-0.044027755
Rectangle,Quadrilateral,1,0.018001107
Cartesian_coordinate_system,Angle,1,0.061328654
Tangent,Polygon,1,-0.000969351
Reflection_symmetry,Geometry,1,0.321348286
Square,Hexagon,0,0.076453573
Point_(geometry),Parallelogram,0,0.162415765
Polyhedron,Line_(geometry),1,-0.081358834
Diagonal,Rectangle,0,0.043191397
Rectangle,Midpoint,0,-0.136471854
Dodecagon,Polyhedron,0,0.098638103
Rhombus,Parallelogram,1,-0.143037336
Angle_bisector_theorem,Geometry,1,0.242257842
Polygon,Triangle,0,0.134222487
Hendecagon,Line_segment,1,0.082975645
Tangent,Point_(geometry),1,0.018759344
Geometry,Similarity_(geometry),0,-0.167292339
Prism_(geometry),Rectangle,0,0.149310476
