source_node_id,target_node_id
26,66
31,124
6,70
8,39
3,29
9,62
110,48
10,29
25,4
40,4
57,77
1,52
8,97
95,116
5,4
62,55
73,85
90,53
35,4
106,33
89,66
15,66
14,4
98,55
26,70
103,4
42,70
116,75
45,50
37,99
6,34
10,34
17,24
49,2
56,31
13,66
87,4
3,105
58,44
18,34
10,42
109,48
31,82
56,49
10,39
20,4
84,10
1,29
18,7
1,34
0,4
1,12
17,4
3,34
3,12
35,2
54,10
110,96
65,4
69,105
26,34
59,66
61,66
57,66
25,117
136,75
109,96
26,39
126,61
59,52
101,13
59,39
57,0
9,135
106,39
17,97
40,97
56,77
73,67
30,89
73,39
35,102
56,85
1,42
126,64
127,97
25,2
5,66
122,131
101,47
41,34
54,4
60,50
69,2
31,77
10,7
67,4
3,66
45,36
49,85
59,97
49,67
41,42
57,4
1,7
15,64
73,29
120,4
3,4
38,2
112,66
88,4
110,109
72,85
129,4
41,13
35,82
101,34
60,75
57,2
106,4
69,12
88,53
105,4
69,66
78,39
65,42
35,48
74,4
0,66
30,4
65,34
61,55
29,39
6,4
15,55
89,4
82,68
23,24
65,12
13,2
13,97
31,4
100,24
26,2
26,4
125,4
33,4
73,97
41,70
127,39
104,4
59,12
6,97
42,34
1,10
90,4
71,4
55,66
91,24
106,66
38,4
54,97
26,47
90,85
40,12
31,102
65,7
40,2
88,85
41,82
1,39
32,66
47,97
38,102
41,2
40,105
60,44
45,24
41,97
31,0
8,4
3,39
59,7
115,33
14,100
2,4
51,66
104,24
101,102
26,97
21,51
98,62
67,24
41,68
14,7
84,7
40,29
6,42
18,4
55,4
32,77
58,24
18,70
54,70
0,124
56,67
84,39
13,34
18,39
65,1
58,50
18,66
49,24
19,4
10,4
8,67
15,4
17,7
108,114
30,66
35,0
42,39
15,126
14,24
31,66
125,24
16,2
13,42
33,52
115,52
81,116
38,124
101,2
25,66
57,31
74,75
1,70
111,66
50,4
115,4
56,75
40,66
26,42
71,89
35,66
26,13
16,11
56,0
98,4
95,75
9,4
1,97
87,66
10,97
18,42
121,124
50,24
13,4
86,66
90,67
40,39
65,10
18,10
54,29
22,4
14,39
41,39
3,2
56,68
120,24
109,124
74,24
20,24
0,68
57,102
19,92
47,2
101,70
86,4
26,68
1,66
113,4
65,39
42,97
45,75
41,102
97,4
21,2
33,66
57,82
8,44
13,39
54,12
123,76
47,42
126,55
6,39
106,68
84,42
111,55
21,4
65,70
81,75
57,85
101,66
73,4
101,39
26,101
57,24
3,42
74,63
73,7
54,7
0,77
18,29
8,14
78,4
61,4
35,68
22,124
60,100
50,75
106,12
52,4
25,51
54,34
115,66
84,66
7,39
29,97
126,62
73,24
33,39
17,39
69,4
84,97
84,70
65,97
105,2
26,82
101,97
14,44
47,34
24,4
57,124
123,100
3,13
101,42
29,4
91,4
8,75
3,70
21,66
98,66
65,52
56,102
104,67
41,4
103,66
3,97
56,82
78,7
113,86
9,66
91,117
84,4
58,116
52,66
23,4
40,7
9,55
14,97
66,4
57,28
127,7
56,4
5,97
88,67
42,4
56,24
96,48
112,4
56,2
46,75
34,70
84,34
127,29
65,29
8,24
90,24
47,39
129,24
57,11
38,82
28,2
13,70
15,62
74,114
105,12
