A,B,result,RefD
Electric_potential,Force,1,0.163155731
Electromagnetic_radiation,Electric_current,1,-0.134683455
Stiffness,Creep_(deformation),0,0.008711897
Electron,Insulator_(electricity),0,-0.221137923
Distance,Newton's_law_of_universal_gravitation,0,-0.064992316
Physics,Elasticity_(physics),0,-0.174934473
Power_(physics),Sound_intensity,0,-0.22968248
Shock_wave,Force,0,0.001313946
Wavelength,Emission_spectrum,0,-0.186951837
Physics,Doppler_effect,0,-0.059143771
Gravity,Normal_force,0,-0.239559127
Distance,Displacement_(vector),0,-0.277320678
Light,Geometrical_optics,0,-0.189643402
Velocity,Length,0,-0.000495238
Coulomb's_law,Emission_spectrum,0,-0.037818965
Force,Gravitational_acceleration,0,-0.247972115
Joule,Coulomb,0,-0.327256647
Motion_graphs_and_derivatives,Euclidean_vector,1,0.108070551
Wave,Absorption_spectroscopy,0,-0.035341779
Lever,Energy,0,0.173954995
Electrostatics,Electric_current,0,0.160728504
Physics,Scattering,0,-0.091534707
Elasticity_(physics),Displacement_(vector),0,-0.029261712
Snell's_law,Distance,1,0.024269763
Mechanical_energy,Velocity,1,0.047366918
Hooke's_law,Elasticity_(physics),1,-0.038316211
Ohm,Velocity,0,-0.02861213
Energy,Transverse_wave,0,-0.042703083
Hooke's_law,Creep_(deformation),0,0.025340685
Field_(physics),Velocity,0,0.016980208
Speed,Magnet,0,-0.0221192
Refractive_index,Electric_field,0,0.096631001
Physics,Acceleration,0,-0.324996794
Series_and_parallel_circuits,Voltage,1,0.126368758
Acceleration,Velocity,1,-0.036234696
Magnetic_field,Energy,0,0.044736388
Refractive_index,Mass,0,0.014397155
Shock_wave,Velocity,0,0.085994611
Sound_intensity,Physics,1,0.048508488
Elastic_collision,Physics,1,0.257982972
Amplitude,Electrical_resistance_and_conductance,0,0.037812986
Fracture,Creep_(deformation),0,0.044221877
Wave,Rarefaction,0,-0.203727208
Wave,Speed,0,0.005417498
Force,Elasticity_(physics),0,-0.145063499
Temperature,Electromagnetic_spectrum,0,-0.042901132
Voltage,Electric_current,0,0.184520383
Field_(physics),Planet,0,0.040010772
Emission_spectrum,Magnet,1,0.010806981
Shock_wave,Magnetic_field,0,0.051479276
Force,Length,0,-0.077311076
Wave,Le_Sage's_theory_of_gravitation,0,-0.045361134
Light,Emission_spectrum,0,-0.088341066
Diffraction,Huygens–Fresnel_principle,0,0.031908328
Wave,Tension_(physics),0,-0.064305705
Refractive_index,Electromagnetic_spectrum,0,0.00023637
Energy,Wavelength,0,-0.086345386
Refraction,Diffraction,0,0.038852253
Energy,Electrostatics,0,-0.195099666
Electromagnetic_radiation,Emission_spectrum,0,-0.150152215
Insulator_(electricity),Velocity,0,0.032632073
Amplitude,Power_(physics),0,0.107762027
Diffraction,Refractive_index,0,0.009688799
Mass,Field_(physics),0,-0.083721662
Work_(physics),Resultant_force,0,-0.272138243
Motion_(physics),Projectile_motion,0,-0.067753723
Gravitational_acceleration,Gravity,1,0.305858134
Interference_(wave_propagation),Optical_microscope,0,-0.000693471
Snell's_law,Motion_(physics),1,0.011837136
Angle_of_incidence,Reflection_(physics),0,-0.054597844
Speed,Length,0,0.077293459
Geometrical_optics,Ray_(optics),1,0.086156439
Refractive_index,Force,0,0.006598994
Electric_field,Insulator_(electricity),0,0.020636409
Tension_(physics),Potential_energy,0,0.13615757
Magnet,Field_(physics),0,0.015617157
Elasticity_(physics),Fatigue_(material),0,0.057786187
Electron,Telescope,0,-0.041493428
Dielectric,Frequency,0,0.082963572
