source_node_id,target_node_id
146,9
148,9
54,8
196,9
14,80
70,79
207,57
47,9
107,9
139,59
214,9
130,119
192,97
206,59
189,9
130,9
12,20
146,116
39,30
32,142
34,9
173,19
154,97
7,28
2,30
127,9
134,8
162,73
144,9
104,35
72,26
147,97
78,47
49,35
65,30
180,79
157,23
58,20
78,8
12,98
165,47
3,20
117,7
0,9
71,9
193,172
189,142
204,77
14,30
157,59
67,102
67,131
2,59
138,148
123,9
171,23
52,30
2,124
36,30
48,9
98,30
87,72
137,119
95,160
78,119
34,24
32,59
100,9
44,9
134,82
6,59
52,20
67,74
42,21
127,24
163,59
33,20
190,9
146,26
32,124
4,52
28,30
143,89
72,116
55,23
103,59
122,59
124,59
58,9
54,30
99,9
119,9
129,30
36,52
159,30
124,9
66,17
115,30
165,9
37,30
162,168
83,9
121,35
23,59
0,8
131,59
152,160
44,35
87,136
83,119
108,190
27,9
125,21
85,4
188,77
32,131
104,9
151,148
186,30
125,9
93,94
66,71
34,119
115,9
147,20
86,73
40,9
144,59
33,21
31,23
147,30
106,28
14,21
195,19
182,9
94,148
16,26
107,59
18,28
68,17
184,58
177,59
18,20
66,28
38,9
33,28
43,9
197,20
25,48
162,59
14,71
60,79
143,97
218,9
103,158
93,9
135,35
210,19
189,23
68,66
71,17
7,30
42,30
160,9
152,20
37,9
85,20
54,20
71,28
10,17
142,23
18,9
63,59
31,59
95,30
46,112
67,59
70,84
14,17
138,9
49,9
56,20
98,20
75,23
177,9
95,28
87,116
144,23
90,30
69,20
212,59
216,9
42,9
73,101
10,9
54,119
90,24
66,20
29,20
27,35
114,9
165,59
1,23
63,39
116,59
5,37
106,71
135,9
78,158
10,71
33,56
80,30
31,119
112,97
51,59
46,120
98,35
115,28
137,8
108,9
139,73
61,158
116,9
80,9
43,151
53,9
173,82
45,6
202,97
69,30
108,73
72,59
6,142
212,9
78,30
7,20
8,30
96,59
166,179
72,23
142,59
3,18
197,9
26,116
87,9
45,101
34,8
155,35
154,20
86,9
213,9
106,20
67,6
145,9
71,20
90,119
48,101
112,120
186,9
168,59
139,101
4,7
38,102
3,30
25,101
83,31
166,9
13,9
3,17
83,8
67,9
70,9
2,47
4,30
173,30
2,53
181,9
24,9
206,9
15,9
85,150
152,30
147,9
128,30
51,9
122,124
93,148
28,20
12,52
123,35
52,28
10,66
13,209
67,124
83,59
5,30
206,23
147,21
134,119
170,47
56,21
202,143
48,59
78,53
86,101
194,57
25,116
67,142
75,59
29,197
136,26
35,9
20,9
29,21
162,101
4,9
137,9
32,102
80,8
110,59
10,21
117,4
25,9
31,30
150,30
108,48
45,142
55,59
42,28
73,9
130,30
85,52
155,9
131,23
4,28
69,9
8,119
164,9
85,9
25,23
142,9
33,9
92,9
78,175
83,30
127,30
129,9
54,28
72,136
34,30
166,35
12,28
69,28
56,58
12,30
182,59
115,20
99,35
68,71
56,71
145,28
7,52
14,9
32,6
38,59
32,9
85,7
171,59
68,21
131,142
146,23
8,9
189,59
28,9
58,30
90,138
90,8
122,9
163,23
50,9
75,116
70,60
0,30
134,20
68,28
131,6
43,35
36,20
66,21
170,9
29,30
196,8
87,26
177,116
177,23
128,59
185,119
87,23
118,79
162,9
182,101
138,35
184,20
94,9
14,8
33,17
201,20
129,24
32,23
195,30
24,30
196,119
117,35
36,28
63,9
106,21
25,59
78,124
56,30
59,9
159,20
45,124
145,20
45,131
136,23
117,9
154,30
130,8
75,9
169,59
210,30
98,28
187,30
134,24
3,58
78,23
42,17
132,79
117,52
115,7
106,30
103,9
164,35
65,9
160,30
73,59
36,5
163,102
189,116
5,24
33,71
42,71
137,30
174,30
88,30
83,23
170,30
121,9
19,30
60,84
75,26
139,9
68,30
70,30
70,20
74,124
53,124
115,52
37,24
159,9
80,119
133,30
201,9
74,59
134,17
29,9
3,28
1,116
5,9
68,10
108,35
1,9
134,21
154,28
18,30
14,119
136,116
2,175
33,125
31,8
26,23
66,9
160,20
91,9
63,30
115,4
54,39
2,158
136,9
100,35
15,35
126,9
209,9
184,30
179,9
10,20
98,52
145,30
117,28
55,9
71,30
21,9
33,58
131,124
56,9
82,19
157,181
32,101
12,35
56,125
215,9
126,35
6,9
10,30
16,23
143,120
70,28
31,9
117,20
190,35
22,35
95,20
187,19
185,9
61,9
125,30
90,148
43,148
120,97
4,20
54,71
36,9
142,102
196,30
134,30
102,59
14,20
91,35
17,30
189,26
12,9
87,59
189,102
128,47
14,28
157,9
2,9
47,59
22,9
151,9
42,20
89,97
125,20
168,9
198,30
202,120
64,79
