A,B,result,RefD
Geometry,Complex_plane,0,-0.053691561
Circular_motion,Mathematics,1,0.18619627
Calculus,Mathematics,1,0.212358884
Number,Binary_logarithm,0,-0.059248058
Pythagorean_theorem,Inverse_trigonometric_functions,0,-0.172598532
Logarithm,Exponential_growth,0,-0.148752338
Rational_root_theorem,Equation,1,0.145451985
Geometry,Distance,0,-0.038497017
Simultaneous_equations,Mathematics,1,0.021031991
Quadratic_formula,Quadratic_equation,1,0.345406708
Mathematics,List_of_mathematical_symbols,0,-0.510964881
Complex_number,Multiplicative_inverse,0,-0.328643603
Scalar_multiplication,Vector_(mathematics_and_physics),1,0.02147527
Empty_set,Set_(mathematics),1,0.092607362
Mathematics,Parametric_equation,0,-0.42979246
Coordinate_system,Mathematics,1,0.50787339
Rectangle,Mathematics,1,0.049323171
Trigonometric_substitution,Geometry,1,0.047290313
Mathematics,Mathematical_proof,0,-0.314356289
Mathematics,Quadrant_(plane_geometry),0,-0.325975157
Formula,Mathematics,1,0.188839943
Equation_solving,Equality_(mathematics),1,0.061669656
Parallel_(geometry),Slope,0,0.011148752
Semi-major_axis,Focus_(geometry),0,-0.061817813
Geometry,Slope,0,-0.070161194
Logistic_function,Natural_logarithm,0,0.05077745
Parity_(mathematics),Number,0,0.058228895
Equation,Subtraction,0,0.06948545
Arithmetic,Binary_logarithm,0,-0.034339409
Vector_(mathematics_and_physics),Scalar_multiplication,0,-0.02147527
Equation,Zero_of_a_function,0,-0.019335552
Circle,Equation,0,-0.081244201
Interval_(mathematics),Analytic_geometry,0,-0.000238164
Angle,Solution_of_triangles,0,-0.341114511
Circle,Perpendicular,0,-0.14160161
Addition,Even_and_odd_functions,0,-0.102158978
Invertible_matrix,Matrix_(mathematics),1,0.4048117
Slope,Geometry,1,0.070161194
Union_(set_theory),Open_set,0,-0.206689565
Number,Real_line,0,-0.100713717
Chord_(geometry),Mathematics,1,0.184165369
Square_matrix,Minor_(linear_algebra),0,0.2287225
Unit_circle,Cartesian_coordinate_system,0,0.161105066
Quadratic_equation,Equation_solving,0,-0.125687155
Equation_solving,Mathematics,1,0.535489923
Exponential_growth,Arithmetic,1,0.022042836
Circular_motion,Curve,1,0.004155076
Rational_number,Number,1,-0.112852224
Solution_of_triangles,Line_segment,1,0.140402425
Coordinate_system,Change_of_variables,0,-0.038852014
Inequality_(mathematics),Mathematics,1,0.431936305
Number,Cross_product,0,-0.025470761
Number,Logarithm,0,-0.001893445
Imaginary_number,Real_number,1,0.552062381
Algebraic_expression,Rational_number,0,0.305268518
Matrix_multiplication,Matrix_(mathematics),1,0.258441206
Base_(exponentiation),Multiplication,1,0.522971776
Circle,Quadratic_equation,0,-0.091629615
Cartesian_coordinate_system,Number,1,0.018110544
Algebraic_operation,Mathematics,1,0.502265061
Mathematics,Circle,0,-0.232553027
Polygon,Solution_of_triangles,0,-0.138673595
Line_(geometry),Slope,0,-0.031768993
Point_(geometry),Radius,0,-0.157427585
Logarithm,Equation_solving,0,-0.073774908
Displacement_(vector),Calculus,0,0.16189558
Union_(set_theory),Natural_number,0,0.233412141
Fundamental_theorem_of_algebra,Equation,1,-0.055826407
Pythagorean_trigonometric_identity,Trigonometric_functions,1,0.099130513
E_(mathematical_constant),Natural_logarithm,0,-0.080853337
Unit_circle,Equation,0,0.024387317
Exponentiation,Identity_(mathematics),0,-0.031315642
Arithmetic,Division_(mathematics),0,-0.043625109
Mathematics,Rotation_(mathematics),0,-0.370956492
Rational_number,Multiplicative_inverse,0,-0.205502642
Mathematics,Linear_equation,0,-0.470264418
Addition,Commutative_property,0,-0.124618284
Mathematics,Secant_line,0,-0.429238404
Range_(statistics),Image_(mathematics),0,-0.004819993
Fundamental_theorem_of_algebra,Matrix_(mathematics),0,0.040841246
Complex_number,Equation,0,-0.307672431
Integer,Binomial_heap,0,-0.063915828
Addition,Geometry,0,0.021188017
Radius,Mathematics,1,0.16960585
Geometry,Polar_coordinate_system,0,-0.143746469
Number,Exponential_growth,0,-0.262914791
Exponentiation,Addition,0,-0.077194343
Line_(geometry),Equation_solving,0,-0.10986438
Function_composition,Function_(mathematics),1,0.23146445
Arithmetic,Fundamental_theorem_of_algebra,0,0.009426998
Conic_section,Circle,1,0.123220075
Matrix_ring,Matrix_(mathematics),1,0.373470555
Addition,Real_number,0,0.151383845
Mathematics,Binomial_theorem,0,-0.403018132
Geometry,Sine_wave,0,-0.050200928
Analytic_geometry,Coordinate_system,1,-0.018452296
Negative_number,Distance,0,0.011603078
Periodic_function,Function_(mathematics),1,0.265490353
