source_node_id,target_node_id
0,13
3,21
6,43
10,68
13,71
14,43
17,75
18,44
19,16
15,43
5,7
19,38
9,19
21,36
15,12
22,80
23,1
24,1
25,0
26,8
27,43
10,46
5,62
21,77
28,54
0,1
5,79
23,52
29,1
30,68
31,43
32,8
9,12
35,2
8,1
32,1
10,80
34,2
38,4
39,21
40,12
21,80
24,16
13,51
40,54
41,21
34,12
2,41
40,4
44,43
45,41
46,43
21,29
47,9
48,1
10,5
38,46
49,20
50,83
51,43
52,43
53,43
55,82
48,43
56,9
8,51
25,55
57,42
30,4
26,37
28,69
58,2
59,82
21,1
34,65
46,5
2,21
39,64
41,24
40,38
26,20
47,37
61,5
62,12
26,52
19,21
9,68
39,43
5,66
21,51
18,9
18,15
38,66
19,4
61,43
63,9
64,15
8,12
34,29
13,21
47,43
17,4
5,43
34,54
66,43
19,1
39,5
0,11
67,80
50,10
38,36
30,82
34,43
3,1
32,15
21,11
28,9
44,11
17,15
69,12
44,54
25,43
71,82
10,1
49,4
20,75
9,34
11,4
28,72
4,1
71,21
50,37
72,2
57,21
40,2
2,19
50,46
9,7
28,0
22,27
23,43
73,21
59,88
74,69
58,9
2,5
23,79
45,3
20,21
31,1
41,38
4,79
49,2
11,12
39,8
39,13
5,12
71,0
59,5
76,21
50,82
4,35
0,81
38,37
45,9
22,5
42,15
5,63
22,62
21,65
78,24
10,61
40,37
71,9
5,73
5,1
9,17
79,1
52,12
57,0
20,43
32,5
17,65
71,32
5,11
61,2
28,21
14,75
32,82
2,47
58,4
19,43
18,16
69,43
50,24
82,42
61,54
19,12
57,43
38,15
3,82
17,64
31,29
36,43
10,9
22,75
11,65
67,25
78,21
52,4
15,72
57,19
77,1
45,2
21,79
66,12
8,21
5,31
61,8
57,38
35,12
69,75
46,37
50,5
26,27
36,29
69,9
11,75
36,5
5,52
65,2
71,4
44,51
47,1
69,36
18,54
18,19
58,1
21,7
20,9
61,9
9,32
70,1
8,7
83,3
5,48
44,1
49,43
69,66
54,43
47,16
73,9
15,4
62,9
3,8
73,12
84,9
27,80
52,1
18,12
10,51
85,21
10,66
83,43
54,81
17,60
62,1
4,29
38,54
21,34
39,51
72,1
38,43
21,82
7,65
2,12
25,34
9,29
9,46
63,1
20,3
50,11
8,66
20,4
28,66
35,1
32,65
16,0
76,5
39,25
77,75
70,2
18,66
58,21
63,12
28,37
40,46
2,37
75,15
34,15
25,7
50,75
49,5
79,43
77,2
53,80
7,81
12,43
69,21
5,72
59,1
5,40
3,5
5,56
57,9
28,24
58,5
59,25
40,43
16,11
70,43
70,5
11,7
27,82
46,48
8,37
12,41
21,75
10,27
20,82
54,2
9,77
37,5
5,15
64,25
39,29
77,54
77,43
28,8
67,65
37,41
29,12
81,80
9,4
9,11
13,33
44,38
69,82
14,48
69,64
41,15
69,81
47,54
21,0
40,9
41,9
76,82
9,52
31,51
18,21
34,4
26,1
59,3
86,21
21,72
45,21
5,75
56,2
70,54
6,5
17,66
73,4
71,69
13,8
41,82
21,52
7,2
11,2
74,21
24,36
64,5
23,9
50,57
47,5
49,22
34,37
84,2
4,66
22,43
20,36
13,34
21,48
6,82
4,65
44,5
32,85
23,4
71,52
74,80
84,4
9,54
17,38
80,43
21,15
8,85
37,42
72,29
57,2
0,67
7,34
11,54
17,59
70,75
13,48
57,1
18,38
62,21
5,29
15,54
10,38
36,75
76,1
65,1
7,79
21,43
61,21
55,27
10,37
57,16
9,16
21,56
34,67
69,3
28,51
5,0
69,4
21,9
86,32
0,34
51,0
41,1
78,37
44,8
69,2
32,43
76,25
11,25
28,5
17,55
66,54
18,11
31,4
44,21
1,12
28,10
59,43
69,27
32,34
44,27
27,3
39,54
48,12
16,12
49,9
79,12
78,43
5,77
13,7
66,2
8,69
20,27
65,43
70,9
5,4
17,1
52,81
16,75
45,43
37,1
65,79
5,65
57,84
24,5
64,3
16,2
60,25
46,54
45,5
31,2
67,4
44,19
50,80
64,21
65,29
84,12
13,5
64,43
44,3
3,43
0,38
61,4
76,64
26,15
74,8
42,68
41,5
62,2
72,66
9,5
8,9
24,21
29,2
0,37
46,4
17,34
72,65
67,81
57,54
7,12
71,65
10,21
85,37
69,34
73,43
60,43
56,1
68,43
5,51
43,1
36,0
9,43
37,21
84,70
84,21
85,43
10,24
71,43
20,1
57,12
40,79
79,9
69,5
41,3
44,65
46,12
17,46
55,3
46,66
59,75
63,21
7,4
48,9
13,81
73,2
8,82
52,3
5,23
21,66
57,75
88,3
43,75
64,1
5,35
66,1
36,37
38,21
57,15
13,43
30,42
71,2
84,5
22,56
39,1
16,4
0,29
10,72
32,0
85,82
7,1
79,2
30,75
30,34
42,43
71,8
69,17
21,35
38,12
70,12
69,55
62,43
8,46
54,1
32,80
28,34
31,34
20,5
72,43
35,15
59,21
50,43
17,48
62,56
14,15
48,54
4,12
45,4
63,43
26,36
84,62
23,12
86,5
85,5
80,75
59,80
38,9
9,66
35,43
70,15
5,34
30,43
76,55
5,80
62,81
81,75
2,81
8,29
41,43
17,82
16,1
21,54
72,4
71,11
21,32
84,1
18,5
77,66
35,9
0,4
54,37
39,15
8,77
68,15
38,1
74,5
9,37
77,34
71,1
21,4
7,43
21,16
6,21
13,25
21,23
56,43
48,81
11,15
65,12
21,46
9,36
5,38
23,2
35,79
67,9
32,69
47,38
10,54
45,1
37,43
71,12
69,1
0,2
4,54
31,36
41,4
65,81
49,12
13,1
17,51
44,16
7,15
26,82
69,15
47,41
84,74
24,43
61,46
15,16
27,5
58,43
4,48
2,9
76,59
51,1
2,52
49,1
20,15
76,43
7,72
83,4
27,75
11,1
16,54
50,79
19,54
73,1
78,5
9,1
71,53
74,1
47,21
71,5
0,82
30,51
68,1
25,46
7,37
4,43
30,15
5,54
47,4
67,52
28,31
62,79
38,29
72,12
10,4
11,81
41,54
45,54
41,20
21,5
13,59
31,12
64,8
26,75
40,1
2,43
0,43
61,1
29,43
87,17
3,80
1,6
38,65
86,80
57,4
71,67
5,16
26,83
10,43
31,81
10,12
28,15
11,43
22,79
40,48
10,82
8,72
10,15
37,6
0,54
67,43
18,2
31,66
56,12
54,12
48,79
18,1
32,75
42,1
22,3
48,2
64,82
19,5
50,15
18,4
26,53
63,2
31,9
6,85
59,15
72,11
7,29
30,16
33,82
84,31
24,9
46,1
24,15
86,43
36,15
38,16
81,43
38,11
49,21
85,1
83,15
61,12
32,11
56,4
8,80
18,10
10,31
9,0
10,8
64,59
70,4
28,29
72,34
9,65
16,43
42,4
51,54
45,12
9,72
77,4
10,25
8,5
8,43
18,41
