A,B,result,RefD
DBSCAN,Arithmetic mean,1,0.056949718
OPTICS algorithm,Arithmetic mean,1,0.068724223
Confidence interval,Joint probability distribution,0,-0.054271147
Prior probability,Conditional probability,0,0.060757607
Decision tree model,Conditional probability,1,0.037256596
Boosting (machine learning),Data mining,0,0.289193198
Naive Bayes classifier,Standard deviation,1,0.107393328
Feedforward neural network,Gradient descent,0,0.639727002
Confidence interval,Statistical significance,0,-0.501423586
Data mining,Hierarchical clustering,0,-0.261295302
Interquartile range,Median,1,0.257907316
Cluster analysis,Outlier,0,-0.148141967
Bayesian network,Probability density function,1,0.10155694
Data mining,Outlier,1,-0.044026663
Sensitivity and specificity,Accuracy and precision,0,0.08543996
K-medoids,Cluster analysis,1,0.351234756
Backpropagation,Feedforward neural network,0,-0.680850562
Random forest,Boosting (machine learning),0,-0.020824526
K-means clustering,Machine learning,1,-0.010169644
Mutation (genetic algorithm),Natural selection,1,0.121586943
Cluster analysis,Information retrieval,0,-0.004639376
Support vector machine,Probability density function,1,0.03602709
Gradient descent,Maxima and minima,1,0.047233178
Conditional probability,Bayesian network,0,-0.13053827
Statistical classification,Artificial neural network,0,-0.069691301
Standard deviation,F1 score,0,-0.140448465
AdaBoost,Joint probability distribution,1,0
Statistical hypothesis testing,Type I and type II errors,0,-0.621057733
Arithmetic mean,Cluster analysis,0,0.406582162
Correlation and dependence,Clustering high-dimensional data,0,-0.069069685
Confusion matrix,Sensitivity and specificity,0,-0.141730792
Sample (statistics),Precision and recall,0,-0.115863257
Sensitivity and specificity,Statistical classification,1,0.217497094
F1 score,Sample (statistics),1,0.109934344
Random forest,Standard deviation,0,0.062810633
Bayesian network,Prior probability,1,0.149613307
Stepwise regression,Regression analysis,1,0.427771374
K-medoids,K-means clustering,0,0.077135482
Statistical classification,Naive Bayes classifier,0,-0.128835132
Correlation and dependence,Hierarchical clustering,0,-0.017824363
False positives and false negatives,Positive and negative predictive values,0,0.085071538
Linear separability,Support vector machine,0,0.27790046
DBSCAN,Cluster analysis,1,0.446483053
Interquartile range,Outlier,0,-0.057161564
Standard deviation,Hierarchical clustering,0,-0.064159343
Hierarchical clustering,Cluster analysis,1,0.358454643
Precision and recall,Null hypothesis,1,0.053497962
Random forest,Decision tree learning,1,0.1020251
Machine learning,Bayesian network,0,0.152753769
Clustering high-dimensional data,Correlation and dependence,1,0.069069685
Conditional probability,Naive Bayes classifier,0,-0.137661138
Decision tree model,Statistical classification,1,0.012212578
