source_node_id,target_node_id
0,25
1,25
3,20
4,20
5,8
6,22
7,19
9,66
11,45
12,97
13,10
17,60
18,45
19,76
25,10
12,21
29,28
15,22
11,3
30,40
13,16
31,84
32,18
0,10
33,10
34,77
15,43
35,11
36,26
4,21
37,11
0,49
39,21
15,96
11,38
8,40
18,42
42,8
43,45
2,28
6,91
33,37
14,55
14,35
47,8
48,2
50,20
5,18
52,22
53,26
25,46
43,21
6,102
2,51
36,10
10,58
37,10
48,97
31,12
5,35
25,13
32,21
18,21
43,4
9,95
59,77
11,41
58,3
32,35
49,8
8,24
56,21
1,22
16,49
64,28
64,54
16,25
65,25
30,104
18,35
32,82
26,8
68,21
69,43
70,21
69,35
59,2
0,26
64,2
71,49
37,57
1,26
26,25
1,56
41,20
73,9
10,8
37,25
74,10
75,8
14,58
6,103
26,22
11,20
48,64
5,106
7,107
53,49
50,8
70,35
15,20
78,57
58,21
23,55
6,45
13,108
5,45
80,66
6,87
81,85
41,38
37,88
13,49
5,44
64,24
41,63
5,39
83,10
34,59
18,106
36,22
11,67
70,44
34,22
43,35
44,35
18,62
15,39
17,81
84,27
34,68
22,51
18,40
57,90
6,3
74,88
34,27
85,60
24,67
15,44
9,102
74,22
56,22
59,64
15,40
37,67
6,41
22,10
64,66
23,5
33,26
23,35
50,49
2,66
18,44
11,63
43,20
64,8
33,25
9,94
37,22
29,77
41,67
80,95
88,65
49,10
12,48
43,8
53,10
24,3
22,46
5,55
56,25
51,24
0,109
11,22
16,44
9,22
48,22
65,94
56,26
14,21
0,108
26,37
56,49
64,51
65,66
57,107
69,39
30,2
6,21
30,25
86,90
48,77
90,40
53,25
45,67
13,42
18,90
91,45
15,55
11,78
69,58
74,49
30,89
74,25
69,45
57,38
1,49
20,63
39,20
78,37
34,64
26,46
58,81
57,41
71,26
91,20
29,24
29,2
74,33
37,49
36,49
53,79
25,86
6,57
45,38
34,25
0,22
71,10
91,11
78,41
17,35
14,19
80,25
93,57
10,16
25,40
1,33
8,28
34,87
8,25
21,40
15,21
6,63
8,2
29,64
69,21
78,112
65,22
43,49
33,49
23,45
59,22
6,25
11,44
42,56
83,26
41,86
0,8
28,51
45,35
19,58
50,61
48,20
67,20
8,22
83,25
1,8
1,0
37,42
35,58
6,20
6,38
44,7
0,33
29,87
93,3
67,3
83,33
28,24
57,3
86,38
16,116
7,21
63,54
30,90
48,24
20,38
81,10
37,16
29,34
74,104
79,46
30,107
61,20
70,45
36,25
37,102
41,45
83,49
80,65
53,22
58,40
71,25
44,90
5,19
2,24
77,51
29,22
56,10
57,20
34,21
77,8
58,67
98,15
0,56
48,28
33,22
74,26
29,59
26,42
43,39
99,19
78,38
1,42
74,8
78,20
100,40
86,40
71,22
26,90
81,60
69,106
6,26
26,10
15,35
39,81
15,45
59,24
34,28
1,10
30,8
14,44
8,20
72,35
25,90
26,16
44,45
4,39
45,63
7,35
34,97
7,45
29,21
69,14
41,90
57,11
58,45
83,22
80,22
41,91
56,8
86,20
37,45
2,22
37,20
34,2
19,90
43,11
37,64
18,82
45,66
37,8
91,44
16,22
34,24
78,45
16,66
14,115
100,25
59,28
14,45
45,86
43,44
8,21
35,16
77,24
48,49
38,40
7,58
6,35
38,3
30,55
16,45
58,44
16,46
6,44
37,63
80,88
15,88
22,13
43,58
57,45
22,24
26,13
