source_node_id,target_node_id
2,141
3,106
6,10
7,135
8,14
9,47
14,82
15,62
17,24
18,52
19,92
20,68
21,2
0,29
23,73
25,24
8,7
26,80
27,4
28,27
30,29
26,0
33,4
34,10
14,24
20,104
37,137
38,48
28,2
40,105
41,124
42,12
18,7
43,41
21,75
45,50
47,13
48,35
49,67
34,66
10,47
51,2
49,141
14,46
21,29
54,113
55,62
56,67
57,85
58,24
59,103
58,70
60,75
7,0
28,4
63,74
20,24
65,42
68,141
59,7
69,4
28,67
59,40
33,115
24,125
1,66
65,4
16,105
34,97
74,75
33,143
73,4
60,46
22,144
77,82
47,80
19,97
35,4
79,123
8,29
51,143
0,2
12,11
81,116
82,12
14,27
83,0
84,97
20,134
82,137
82,124
85,2
21,46
32,135
38,72
87,12
88,11
70,66
89,66
90,85
53,14
58,14
7,11
1,141
29,144
14,12
91,4
92,56
93,46
82,4
0,113
21,24
24,2
95,8
59,2
37,124
56,82
60,4
8,97
97,2
10,113
26,66
40,4
18,29
59,67
54,66
21,4
82,66
10,68
104,29
15,55
90,48
73,67
20,74
69,40
32,137
1,52
40,2
12,39
42,47
106,33
45,39
13,70
24,62
107,72
73,85
7,56
26,102
27,143
1,97
13,144
42,39
26,37
97,5
108,67
24,4
22,124
49,2
97,78
37,39
34,65
55,111
17,2
109,2
97,12
77,70
48,124
8,75
32,4
38,29
29,7
2,27
109,94
53,48
24,12
77,12
1,4
52,4
45,135
18,97
97,27
21,7
101,137
58,100
14,85
86,2
31,46
57,77
8,76
29,84
100,135
38,102
32,66
91,24
110,96
24,85
111,66
112,9
105,4
41,82
113,7
104,67
26,97
41,97
57,0
9,12
91,72
62,2
40,39
53,39
87,4
20,67
0,27
26,52
58,75
116,75
14,114
60,24
60,50
113,2
109,144
68,41
34,26
88,2
45,4
27,29
54,97
21,51
0,4
118,95
88,90
24,74
39,4
35,0
31,2
30,4
54,33
38,2
25,29
106,12
79,81
97,66
38,4
119,48
120,56
17,29
34,101
69,12
8,67
7,38
77,66
10,2
25,4
122,131
53,56
123,100
48,51
84,135
57,124
53,109
49,56
109,96
59,12
24,135
30,66
76,31
118,50
48,137
102,82
31,74
42,13
84,66
71,4
1,42
102,101
77,56
61,9
8,60
35,80
55,126
60,100
0,137
91,12
115,4
56,144
21,25
73,24
82,101
6,70
37,2
66,143
17,66
88,56
81,136
9,39
125,4
14,67
59,29
78,7
10,31
58,44
77,135
16,48
66,4
52,66
69,29
7,12
102,56
2,4
106,39
54,143
10,33
105,66
77,109
97,32
113,39
126,66
101,2
42,29
77,68
53,51
46,51
59,46
113,135
18,70
43,37
54,4
16,82
88,85
62,9
50,67
58,67
31,144
32,11
6,4
103,141
1,78
59,66
65,144
35,119
21,66
55,98
24,11
47,141
127,29
65,141
76,141
9,135
34,13
56,0
13,2
41,70
6,42
41,101
48,82
41,102
1,70
23,85
38,85
17,0
10,97
32,0
128,104
24,66
71,11
54,70
8,24
116,8
42,4
123,24
34,70
9,113
23,4
68,35
1,2
78,4
129,24
101,66
15,143
22,109
57,67
25,39
120,24
55,61
130,70
75,16
7,32
51,4
124,31
131,39
35,66
29,47
7,39
53,90
56,24
7,4
102,137
38,56
41,2
41,47
43,102
2,12
116,20
85,144
67,7
17,4
58,4
3,42
91,7
52,115
56,31
35,2
42,10
57,68
131,70
41,66
88,95
53,85
127,4
48,94
36,50
43,48
65,70
57,103
65,97
42,84
10,4
97,39
83,102
104,4
100,24
50,4
111,27
47,105
7,68
68,0
7,14
94,143
38,27
9,27
31,27
34,147
97,7
62,66
49,85
52,10
124,0
56,124
127,39
22,4
80,13
24,29
57,11
116,67
86,51
21,14
132,66
42,97
31,4
116,60
69,105
7,74
29,141
22,121
15,66
95,14
33,2
127,7
8,31
50,24
37,141
0,144
8,50
9,4
109,135
88,46
24,72
41,34
57,2
77,27
62,27
37,13
129,12
103,29
54,29
9,143
116,58
78,66
6,39
20,14
97,73
65,29
14,31
94,144
3,4
34,12
18,4
88,143
53,82
