A,B,result,RefD
Magnetic_field,Inertial_frame_of_reference,0,-0.048636248
Gravitational_acceleration,Position_(vector),1,-0.051118488
Energy,Planet,0,0.012269252
Mechanical_energy,Gravitational_field,0,0.006908883
Physics,Electric_potential_energy,0,-0.241411131
Newton's_laws_of_motion,Motion,0,-0.233305879
Motion_graphs_and_derivatives,Acceleration,0,0.43667703
Speed,Length,0,0.077293459
Energy,Intensity_(physics),0,-0.268015197
Snell's_law,Refractive_index,1,0.117688421
Hooke's_law,Work_(physics),0,0.010414061
Acceleration,Displacement_(vector),1,-0.161170305
Physics,Collision,0,-0.180182208
Electron,Mechanical_energy,0,-0.10943047
Mass,Wave,0,-0.021212834
Potential_energy,Gravity,0,-0.006113505
Refractive_index,Electric_field,0,0.096631001
Hardness,Elasticity_(physics),1,0.140462891
Photoelectric_effect,Collision,0,-0.004836189
Refractive_index,Reflection_(physics),0,-0.094342119
Shock_wave,Wave,1,0.057981284
Projectile_motion,Gravity,1,0.175819492
Non-inertial_reference_frame,Frame_of_reference,1,0.365472212
Diffraction,Field_(physics),0,0.018699496
Intensity_(physics),Energy,1,0.268015197
Electrical_conductor,Electromagnetic_spectrum,0,-0.006430061
Magnetic_field,Velocity,0,0.010749762
Crest_(physics),Doppler_effect,0,0.131098863
Wave,Reflection_(physics),0,-0.06747247
Energy,Collision,0,-0.129951553
Sound_intensity,Wave,0,0.079034259
Refractive_index,Scattering,0,-0.020382534
Physics,Stiffness,0,-0.121043324
Magnetic_field,Relative_velocity,0,-0.098555571
Snell's_law,Speed,1,0.010369364
Electric_potential,Joule,0,0.177067185
Temperature,Physics,0,0.036574104
Energy_level,Temperature,0,0.020604622
Velocity,Doppler_effect,0,-0.048627943
Normal_force,Velocity,0,0.294192709
Electromagnetic_radiation,Velocity,0,-0.03319777
Magnetism,Electric_current,0,-0.001835797
Electric_potential,Magnetic_field,0,0.295502497
Newton's_law_of_universal_gravitation,Physics,1,0.182334021
Position_(vector),Acceleration,0,0.324244922
Refractive_index,Wave,1,0.01052858
Physics,Snell's_law,0,-0.138900463
Energy,Joule,0,-0.243880123
Electromotive_force,Voltage,1,-0.07318771
Diffraction,Scattering,0,0.003906021
Plane_mirror,Length,0,0
Capacitance,Coulomb,0,0.094759982
Dielectric,Voltage,0,0.259880628
Refractive_index,Refraction,1,-0.104350345
Magnetism,Field_line,0,-0.147056571
Energy_level,Energy,1,0.015018586
Distance,Optical_microscope,0,-0.002987304
Elastic_collision,Kinetic_energy,1,0.278160198
Electrostatics,Electric_current,0,0.160728504
Displacement_(vector),Mass,0,0.388532516
Projectile_motion,Speed,1,0.127519566
Electron,Electroscope,0,-0.271745986
Electroscope,Electrostatics,0,0.163989301
Intensity_(physics),Light,0,0.180491709
Electron,Frequency,0,-0.029404354
Angle_of_incidence,Ray_(optics),0,-0.008109206
Temperature,Absorption_spectroscopy,0,-0.110556186
Newton's_laws_of_motion,Collision,0,-0.110482934
Mirror_image,Reflection_(physics),1,0.085255913
Laser,Absorption_spectroscopy,0,-0.123313204
Work_(physics),Potential_energy,0,0.014829944
Voltage,Electromotive_force,0,0.07318771
Absorption_spectroscopy,Wavelength,1,0.223275658
Position_(vector),Force,0,0.335687483
Acceleration,Work_(physics),0,0.142877807
Reflection_(physics),Total_internal_reflection,0,-0.033089788
Power_(physics),Energy,1,0.206405814
Absorption_spectroscopy,Planet,0,0.071988173
Refractive_index,Laser,0,0.00784825
Gravity,Doppler_effect,0,-0.01369403
Amplitude,Doppler_effect,0,-0.031181006
Wave,Tension_(physics),0,-0.064305705
Intensity_(physics),Velocity,0,0.10612144
Gravity_of_Earth,Torque,0,0.043313197
Deformation_(engineering),Elasticity_(physics),0,0.10350264
Acceleration,Electric_potential,0,-0.023506572
Work_(physics),Position_(vector),1,-0.284070918
Magnetic_field,Mirror_image,0,-0.017648795
Electromagnetic_spectrum,Wavelength,1,0.096379151
Emission_spectrum,Frequency,1,0.114907343
Potential_energy,Power_(physics),0,-0.00165195
Specular_reflection,Wave,1,0.059131902
