source_node_id,target_node_id
1,23
2,23
3,20
4,85
5,52
7,98
8,80
10,21
11,82
12,98
13,209
14,19
15,9
1,9
16,59
20,9
22,35
8,168
24,30
25,9
26,59
27,190
29,20
31,8
32,102
33,56
34,9
36,220
34,119
42,21
43,35
44,138
45,142
47,59
30,165
48,9
11,28
50,9
51,26
14,20
32,131
21,39
54,8
56,28
31,80
28,39
31,9
61,9
53,124
24,9
62,19
63,59
64,79
65,58
67,6
68,28
48,45
69,28
70,60
58,28
72,9
20,52
47,82
55,116
74,59
76,9
77,9
78,2
79,118
81,207
66,10
69,9
83,9
67,23
31,2
86,59
4,9
87,23
8,119
11,111
12,30
42,9
75,17
88,58
33,125
89,202
90,148
91,35
52,19
93,59
32,23
94,148
23,177
29,21
36,5
14,71
96,59
81,133
28,35
21,9
4,30
98,9
99,181
100,9
101,59
30,17
14,8
51,177
71,35
47,19
83,119
103,59
7,20
11,35
60,84
3,28
105,221
5,57
107,9
76,97
108,101
109,19
55,206
73,139
75,82
45,53
56,125
110,9
108,59
30,52
55,205
31,59
102,59
71,9
106,21
70,30
114,19
63,39
115,9
21,30
86,9
45,102
117,30
118,59
43,148
2,124
21,186
8,40
66,68
121,181
59,9
125,71
64,118
126,9
49,9
12,35
99,9
127,24
128,59
129,9
130,30
21,17
56,71
132,19
90,9
134,9
56,30
135,19
32,124
136,9
45,203
37,5
137,30
7,30
138,78
140,5
36,71
120,143
48,2
144,23
95,28
63,9
145,30
1,56
93,148
70,28
146,59
16,9
147,30
40,9
149,19
14,80
152,20
153,9
36,39
58,30
115,28
33,17
34,8
119,9
56,58
25,48
111,35
155,59
99,179
156,140
5,2
30,0
98,62
55,148
10,17
157,35
60,19
54,30
124,9
63,30
52,57
159,20
160,95
74,9
28,62
30,128
32,9
98,4
161,124
103,158
100,181
35,19
162,168
80,9
8,0
163,142
79,148
32,101
22,9
147,9
164,35
114,207
47,8
2,175
166,9
52,39
167,188
113,200
52,98
55,23
168,9
130,179
8,83
37,30
53,23
109,57
54,39
169,9
170,177
155,47
8,59
99,151
36,20
46,97
138,9
144,59
65,68
10,71
71,21
28,207
172,193
33,9
88,159
53,78
16,116
144,142
31,23
85,150
166,181
173,19
74,124
176,59
147,21
68,10
163,23
31,181
131,59
71,17
3,56
2,53
7,115
134,19
36,159
145,19
58,19
138,205
4,133
136,59
31,82
29,197
155,26
182,101
11,19
130,207
145,20
117,20
160,20
10,9
101,9
75,116
45,26
20,98
182,59
67,59
6,9
182,9
11,21
36,19
183,59
70,202
28,71
31,157
150,19
130,119
100,35
82,57
184,58
185,9
78,59
47,30
8,35
