A,B,result,RefD
Differential_equation,Number,1,-0.022692969
Asymptote,Line_(geometry),1,0.116244778
Cartesian_coordinate_system,Line_(geometry),1,0.036288121
Partial_fraction_decomposition,Arithmetic,1,0.054535584
Logarithm,Natural_logarithm,0,0.008738336
Square_root,Exponentiation,0,0.038845243
Polygon,Line_segment,1,-0.197222071
Base_(exponentiation),Exponential_function,0,0.221965135
Equation,Quadratic_equation,0,0.007843516
Mathematics,Linear_inequality,0,-0.304515442
Binomial_theorem,Addition,1,0.01590011
Associative_property,Complex_number,0,0.113764495
Exponential_growth,Exponential_function,1,0.074120857
Mathematical_induction,Mathematical_proof,1,0.018715347
Quadratic_formula,Real_number,0,0.298727239
Continuous_function,Mathematics,1,0.401133802
Asymptote,Mathematics,1,0.381456003
Circular_sector,Geometry,1,0.11910926
Mathematics,Vertical_line_test,0,-0.564052462
Integer,Partial_fraction_decomposition,0,-0.239341861
Factorization,Partial_fraction_decomposition,0,-0.075045872
Real_number,Inequality_(mathematics),0,-0.347547922
Arithmetic,Mathematics,1,0.294109094
Addition,Circle,0,-0.009578508
Dependent_and_independent_variables,Function_(mathematics),1,0.137262964
Equation,Pythagorean_theorem,0,0.038918224
Line_(geometry),Secant_line,0,-0.061214177
Algebra,Number,1,0.010357038
Sine_wave,Mathematics,1,0.218497555
Circle,Geometry,1,0.169136381
Piecewise,Inverse_function,0,0.077036205
Multiplication,Common_logarithm,0,-0.12033732
Empty_sum,Arithmetic,1,0.196608658
Number,Empty_sum,0,-0.311903482
Linear_equation,Equation,1,0.041863926
Solution_of_triangles,Point_(geometry),1,0.1025955
Synthetic_division,Polynomial_long_division,1,0.183644087
Inequality_(mathematics),Mathematics,1,0.431936305
Arithmetic,Factorization,0,-0.02780348
Function_(mathematics),Exponential_growth,0,-0.090288218
Algebraic_expression,Distributive_property,0,0.005365621
Square_(algebra),Algebraic_expression,0,-0.019275959
Line¨Cline_intersection,Point_(geometry),1,0
Inequality_(mathematics),Equality_(mathematics),1,0.086898274
Rational_number,Nth_root,0,-0.242009476
Parametric_equation,Equation,1,-0.039095017
Prime_number,Zero_of_a_function,0,-0.062229966
Homogeneous_polynomial,Addition,1,0.083403435
Limit_of_a_function,Function_(mathematics),1,0.270777447
Constant_function,Linear_function,0,0.020395319
Law_of_sines,Line_segment,1,0.023974132
Minor_(linear_algebra),Square_matrix,1,-0.2287225
Coordinate_system,Geometry,1,0.163976125
Number,Quadrant_(plane_geometry),0,0.001312364
Sine,Mathematics,1,0.3549386
Periodic_function,Simple_harmonic_motion,0,-0.018040675
Arithmetic,Subtraction,0,-0.093550987
Associative_property,Multiplication,0,0.11652615
Limit_of_a_sequence,Mathematics,1,0.464455229
Focus_(geometry),Circle,0,0.507036607
Exponentiation,Arithmetic,1,-0.077916271
Perpendicular,Coordinate_system,0,-0.006774495
Function_(mathematics),Periodic_function,0,-0.265490353
Quadratic_formula,Arithmetic,1,0.005102595
Solution_of_triangles,Triangle,1,0.36062945
Addition,Rational_number,0,0.026984708
Exponentiation,Quadratic_equation,0,-0.047074765
Rational_root_theorem,Equation,1,0.145451985
Secant_line,Asymptote,0,-0.089502509
Polynomial_long_division,Multiplication,1,0.037220228
Law_of_sines,Sine,1,-0.185752782
Addition,Negative_number,0,-0.05830938
Constant_function,Even_and_odd_functions,0,-0.067845545
Set_(mathematics),Number,0,-0.132550919
Division_(mathematics),Partial_fraction_decomposition,0,-0.030111257
Geometry,Circular_sector,0,-0.11910926
Linear_equation,Quadratic_equation,0,0.155738246
Scalar_(mathematics),Vector_(mathematics_and_physics),1,-0.015592282
Mathematics,Degree_of_a_polynomial,0,-0.416075751
Multiplication,Rational_number,0,0.073881997
Line_(geometry),Radius,0,-0.099230125
Linear_equation,Mathematics,1,0.470264418
Orientation_(geometry),Mathematics,1,0.291801489
Mathematics,Continuous_function,0,-0.401133802
Logarithm,Slope,0,-0.022074853
Perpendicular,Angle,1,0.231510288
Algebra,Mathematics,1,0.424223404
Scientific_notation,Real_number,0,0.097858434
Real_line,Geometry,1,0.165189357
Mathematics,Polygon,0,-0.051480069
Position_(vector),Vector_(mathematics_and_physics),1,0.04903861
Floor_and_ceiling_functions,Division_(mathematics),0,0.062652088
Binomial_heap,Minor_(linear_algebra),0,-0.009278546
Right_triangle,Polygon,1,0.169900777
Mathematics,Sine_wave,0,-0.218497555
Binomial_coefficient,Multiplication,1,0.068571965
Sine,Law_of_sines,0,0.185752782
Multiplicative_inverse,Multiplication,1,0.109470926
Scalar_multiplication,Scalar_(mathematics),1,0.018798963
Polynomial,Circle,0,-0.010495168
Function_(mathematics),Nth_root,0,-0.167240684
Addition,Commutative_property,0,-0.124618284
Division_(mathematics),Multiplication,0,0.045521134
Addition,Binary_logarithm,0,-0.049577938
Arithmetic,Algebraic_expression,0,-0.171657931
Conic_section,Mathematics,1,0.400671343
Arithmetic,Homogeneous_polynomial,0,-0.00223818
Addition,Linear_inequality,0,-0.102454282
Trigonometric_functions,Inverse_trigonometric_functions,0,-0.073110008
Arithmetic,Exponentiation,0,0.077916271
Coordinate_system,Complex_number,0,0.10652618
Secant_line,Curve,1,0.090467084
Right_angle,Geometry,1,0.283654561
Unit_circle,Nth_root,0,-0.054196426
Polygon,Law_of_sines,0,-0.065166875
Triangular_matrix,Mathematics,1,0.395273096
Force,Mathematics,0,0.078945124
Polygon,Right_triangle,0,-0.169900777
Function_(mathematics),Image_(mathematics),0,-0.081068279
Geometry,Vector_(mathematics_and_physics),0,-0.094527229
Analytic_geometry,Cartesian_coordinate_system,1,0.012812789
Vector_(mathematics_and_physics),Euclidean_vector,0,0.037170218
Quadratic_equation,Quadratic_formula,0,-0.345406708
Union_(set_theory),Empty_set,0,0.100512119
Binomial_heap,Binomial_theorem,0,0.010484708
Multiplicative_inverse,Mathematics,1,0.416745419
Complex_number,Zero_of_a_function,0,-0.160448097
System_of_linear_equations,Mathematics,1,0.438228973
Vector_space,Scalar_(mathematics),0,-0.522923431
Natural_logarithm,Arithmetic,1,-0.038377046
Right_triangle,Line_(geometry),1,0.012143968
Linear_equation,Cartesian_coordinate_system,0,0.129149685
Exponentiation,Multiplicative_inverse,0,-0.078499257
Spherical_law_of_cosines,Geometry,1,0.202963587
Mathematics,Common_logarithm,0,-0.192237394
Multiplication,Binomial_heap,0,0
Logarithm,Mathematics,1,0.266976517
Equation,Degree_of_a_polynomial,0,-0.008178705
Eccentricity_(mathematics),Line_(geometry),1,0.057371842
Geometry,System_of_linear_equations,0,-0.146891238
Equation,Equality_(mathematics),1,0.048963031
Associative_property,Commutative_property,0,0.047057535
Exponential_growth,Number,1,0.262914791
Number,Degree_of_a_polynomial,0,-0.031295988
Homogeneous_polynomial,Mathematics,1,0.557391855
Unit_circle,Integer,0,0.139459448
Geometry,Cylinder_(geometry),0,-0.367011348
Geometry,Polar_coordinate_system,0,-0.143746469
Line_(geometry),Real_line,0,-0.064794316
Negative_number,Division_(mathematics),0,0.004733472
Synthetic_division,Degree_of_a_polynomial,1,0.174987135
Main_diagonal,Elementary_matrix,0,0.295939469
Linear_inequality,Calculus,1,0.073703924
Injective_function,Function_(mathematics),1,0.576028099
Number,Scalar_multiplication,0,-0.074234961
Geometry,Point_(geometry),0,-0.204623347
Exponentiation,Real_number,0,0.11158718
Integer,Multiplicative_inverse,0,-0.358364687
Geometry,Pythagorean_theorem,0,-0.122877625
Arithmetic,Division_(mathematics),0,-0.043625109
Mathematics,Mereology,0,-0.187416999
Parity_(mathematics),Even_and_odd_functions,0,-0.008112109
Set_(mathematics),Real_number,0,-0.04343073
Geometric_series,Geometry,0,0.037452633
Mathematics,Cross_product,0,-0.416760015
Solution_of_triangles,Line_(geometry),1,0.082651805
Exponentiation,Imaginary_number,0,-0.196126929
Series_(mathematics),Calculus,1,0.090284206
Line_(geometry),Ellipse,0,0.039701953
Empty_sum,Addition,1,0.580827703
Dot_product,Arithmetic,1,-0.014391829
Equation,Quadratic_formula,0,-0.09793839
Algebraic_expression,Square_root,1,0.065480816
Quadratic_formula,Polynomial,1,0.431575268
Origin_(mathematics),Geometry,1,0.216180619
Union_(set_theory),Natural_number,0,0.233412141
Multiplication,Function_(mathematics),0,0.089998775
Addition,Polynomial_long_division,0,-0.087032014
Addition,Mathematics,1,0.243885876
Mathematics,Algebraic_equation,0,-0.547097016
Matrix_(mathematics),Triangular_matrix,0,-0.554677622
Logarithm,Number,1,0.001893445
Circle,Analytic_geometry,0,-0.08762434
Polynomial,Number,1,-0.091405065
Exponential_function,Mathematics,1,0.446016341
Range_(statistics),Graph_of_a_function,0,0.006966563
Real_number,Nth_root,0,-0.402762288
Even_and_odd_functions,Mathematics,1,0.406298803
Trigonometry,Geometry,1,0.189135918
Number,Integer,0,0.285526844
Point_(geometry),Radius,0,-0.157427585
Quadratic_formula,Equation,1,0.09793839
Focus_(geometry),Ellipse,0,0.385173455
Polynomial,Function_(mathematics),0,0.014996674
Coordinate_system,Real_number,0,0.149547328
System_of_linear_equations,Equality_(mathematics),1,0.03975692
Mathematics,Inverse_trigonometric_functions,0,-0.362821331
Plane_curve,Geometry,1,0.105920075
Line_(geometry),Transformation_(function),0,-0.100700545
Function_composition,Even_and_odd_functions,0,-0.09021998
Base_(exponentiation),Arithmetic,1,0.190697819
Binomial_heap,Arithmetic,1,0
Mathematics,Empty_sum,0,-0.602125461
Associative_property,Function_(mathematics),0,0.253199484
Scalar_(mathematics),Vector_space,1,0.522923431
Circle,Quadratic_equation,0,-0.091629615
Partial_fraction_decomposition,Multiplication,1,0.105902298
Function_(mathematics),Equation_solving,0,-0.284190862
Universal_quantification,Existential_quantification,0,0.045366205
Square_root,Set_(mathematics),0,0.094093131
Addition,Multiplication,0,-0.090333428
Descartes'_rule_of_signs,Rational_root_theorem,0,-0.035966827
Arithmetic,Common_logarithm,0,-0.038061187
Rectangle,Mathematics,1,0.049323171
Perpendicular,Focus_(geometry),0,-0.120610461
Triangular_matrix,Matrix_(mathematics),1,0.554677622
Exponentiation,Algebraic_expression,0,-0.248597776
Inverse_trigonometric_functions,Trigonometry,1,0.077035732
Integer,Binomial_coefficient,0,-0.193701526
Open_set,Real_number,0,0.227717797
Set_(mathematics),Real_line,0,-0.280203336
Secant_line,Slope,0,0.044438015
Number,Quadratic_formula,0,-0.051012993
Trigonometric_functions,Trigonometric_substitution,0,0.041677763
Unit_circle,Complex_number,0,0.368801054
Law_of_sines,Perpendicular,0,0.020864865
Polynomial_long_division,Degree_of_a_polynomial,1,0.101727163
Logarithm,E_(mathematical_constant),0,-0.021119738
Geometry,Line¨Cline_intersection,0,0
Mathematics,Simultaneous_equations,0,-0.021031991
Cylinder_(geometry),Mathematics,1,0.317638701
Commutative_property,Subtraction,0,-0.04279394
Determinant,Minor_(linear_algebra),0,-0.423173062
Inverse_trigonometric_functions,Geometry,1,0.060600771
Circle,Real_line,0,-0.09832983
Number,Exponentiation,0,0.006502412
Secant_line,Derivative,0,0.250514788
Linear_equation,Geometry,1,0.148306232
Multiplication,Linear_inequality,0,-0.105678184
Amplitude,Sine_wave,0,-0.040626192
Point_(geometry),Geometry,1,0.204623347
Polynomial,Mathematics,1,0.446449754
Descartes'_rule_of_signs,Addition,1,0.135522718
Scalar_multiplication,Number,1,0.074234961
Interval_(mathematics),Real_number,0,0.202971694
Real_line,Rational_number,1,0.287535289
Common_logarithm,Mathematics,1,0.192237394
Curve,Cone,0,-0.150093308
Natural_logarithm,Inequality_(mathematics),0,-0.010252536
Addition,Number,1,0.00583105
Spherical_law_of_cosines,Mathematics,1,0.324773354
Law_of_sines,Point_(geometry),1,0.002706053
Binary_logarithm,Number,1,0.059248058
Exponentiation,Fundamental_theorem_of_algebra,0,-0.031568337
Perpendicular,Parallel_(geometry),0,-0.006608724
Euclidean_vector,Geometry,0,0.202251233
Equality_(mathematics),System_of_linear_equations,0,-0.03975692
Square_matrix,Elementary_matrix,0,-0.151564023
Number,Matrix_multiplication,0,-0.050936339
Square_root,Algebraic_expression,0,-0.065480816
Limit_of_a_function,Calculus,1,0.236951169
Logarithm,Scientific_notation,0,-0.024139291
