source_node_id,target_node_id
8,99
103,207
179,270
5,202
99,191
161,173
9,190
190,305
32,18
103,23
247,16
190,200
156,249
13,217
151,254
190,173
160,265
190,13
190,217
301,227
269,226
103,268
263,231
184,231
233,117
269,216
257,13
257,217
247,229
103,0
85,63
95,305
180,4
95,116
116,238
83,185
269,207
270,23
250,223
103,52
103,173
161,239
160,201
250,3
272,190
49,278
9,293
232,40
55,82
103,256
269,268
160,239
269,260
217,139
103,210
110,300
151,210
190,186
116,206
103,225
269,256
257,193
179,15
103,230
8,108
269,235
86,127
302,200
269,51
99,276
238,36
8,218
161,210
78,185
156,229
184,199
160,147
269,93
68,209
45,144
9,11
310,234
103,10
103,264
179,23
241,24
75,218
260,134
134,216
194,271
103,283
240,289
136,11
173,317
240,295
103,238
173,139
220,243
122,34
152,304
147,83
265,90
95,52
95,97
269,213
269,314
160,7
32,215
103,235
241,226
128,197
103,244
269,278
154,117
260,28
110,190
311,227
34,15
85,29
130,236
9,38
5,139
232,209
157,116
51,264
120,309
269,14
272,305
103,201
103,14
95,96
95,106
269,18
110,299
103,212
75,267
163,242
269,173
95,195
154,283
269,33
95,38
32,241
32,237
194,47
161,209
232,18
217,180
278,82
45,63
103,56
87,86
311,119
241,93
301,174
195,174
103,246
209,68
161,215
5,261
302,217
269,212
77,86
128,186
110,170
32,173
184,173
217,251
217,309
42,315
232,32
217,29
103,229
217,115
95,229
32,239
5,278
95,149
302,237
32,209
163,228
250,38
260,208
288,310
250,32
103,93
151,239
95,69
95,32
269,254
194,239
103,12
126,28
179,55
255,7
9,3
269,204
151,201
190,282
51,0
152,309
109,229
75,99
269,163
122,24
190,181
184,21
19,291
52,246
146,222
95,307
223,307
175,214
9,307
269,215
103,285
272,52
9,305
269,236
190,174
269,274
269,210
198,199
217,63
110,29
269,15
302,181
9,69
283,117
103,202
190,225
61,303
217,263
250,304
146,21
250,205
103,241
195,64
190,218
110,305
310,307
232,254
224,306
116,173
161,18
36,115
179,10
163,199
45,313
163,198
190,187
103,254
212,244
179,178
255,226
250,293
269,201
32,116
149,106
49,23
269,10
250,310
116,215
103,260
161,241
269,242
269,244
292,306
146,63
269,183
108,218
202,279
190,257
269,232
151,15
32,201
232,215
88,203
160,199
269,283
179,159
257,302
67,244
317,70
103,236
8,86
42,63
259,129
163,182
103,204
220,203
32,210
205,266
132,16
95,88
226,90
269,241
103,213
263,94
34,24
95,306
194,158
160,93
147,78
269,53
116,196
160,18
163,248
223,310
179,251
75,77
272,309
47,244
161,201
32,161
95,45
104,307
103,48
9,98
103,314
128,7
250,190
205,174
269,52
269,246
272,304
190,252
22,291
205,196
103,216
301,6
103,16
269,238
190,176
175,303
97,308
95,108
165,17
103,53
269,273
103,265
269,239
103,15
250,307
5,16
190,266
110,137
149,45
8,267
269,264
190,272
190,177
61,214
32,273
232,239
190,302
257,7
87,276
132,28
95,159
223,277
306,284
156,139
161,273
103,226
99,268
194,60
269,229
161,237
32,160
151,209
103,274
103,197
103,273
263,4
95,109
13,4
75,165
95,316
52,225
163,25
223,237
