A,B,result
planning,logic and logical agents,1
linguistics basics,text generation,1
multi-modal learning,evaluation of text classification,0
backpropagation,information retrieval,0
parsing,parsing evaluation,1
syntax,penn treebank,1
logic and logical agents,expert systems,1
shift-reduce parsing,Belief Propagation,0
vector semantics,word embedding,1
evaluation of dependency parsing,language modeling,0
calculus,machine learning resources,1
machine learning resources,Meta-Learning,1
structured learning,automated essay scoring,1
radial basis function network,Markov chains,0
linguistics basics,semantic parsing,1
dynamic programming,cky parsing,1
machine learning resources,k means,1
thesaurus-based similarity,propositional logic,0
part of speech tagging,statistical part of speech tagging,1
semi-supervised learning,neural networks,1
generative adversarial networks,speech signal analysis,0
monte carlo tree search,random walks,0
agent-based view of ai,markov decision processes,0
regularization,neural parsing,0
text similarity,word sense disambiguation,1
machine learning resources,word embedding,1
sentence representations,information extraction,1
machine learning resources,semi-supervised learning,1
machine learning resources,neural networks,1
Markov chains,markov chain monte carlo,1
random forest,learning,0
natural language processing intro,relation extraction,1
linguistics basics,propositional logic,1
training neural networks,stack lstm,1
graph convolutional networks,probabilistic grammars,0
deep learning introduction,stack lstm,1
first order logic,predicate logic,1
query expansion,course introduction,0
deep learning tools,context free grammar,0
nn sequence parsing,evaluation of information retrieval,0
semi-supervised learning,Gaussian graphical models,0
natural language processing intro,probabilistic context free grammars,1
random walks and harmonic functions,semi-supervised learning,1
random walks and harmonic functions,neural networks,1
dynamic programming,course introduction,1
linguistics basics,spelling correction,1
learning,perceptron,0
long short term memory networks,neural question answering,1
Belief Propagation,statistical parsing,0
probabilities,Meta-Learning,1
convolutional neural networks,graph convolutional networks,1
probabilities,word distributions,1
bayesian network,neural parsing,0
sequence classification and conditional random fields,transition based dependency parsing,0
word distributions,language modeling,1
summarization evaluation,scientific article summarization,1
spectral methods,Autoencoders,0
graph-based nlp,tsne,0
natural language processing intro,text generation,1
syntaxnet,class logistics,0
parsing evaluation,semantic parsing,1
linear algebra,dimensionality reduction,1
recursive neural network,Kernel Graphical Models,0
linguistics basics,speech processing,1
linguistics basics,word embedding,1
discourse parsing,vector representations,0
python,entropy,0
predicate logic,classification,0
vector semantics,text mining,1
sentence representations,document representation,1
linear algebra,spectral methods,1
loss function,machine learning resources,1
classic parsing methods,shift-reduce parsing,1
data structures,recursive neural network,0
calculus,State Space Models,1
first-order logic,discourse model,0
seq2seq,evaluation of question answering,0
vector representations,bag of words model,1
tokenization,computation theory,0
particle filter,Principal Component Analysis,0
genetic algorithms,class logistics,0
