A,B,result
Software testing,Programming language,1
Parsing,Algorithm design,1
Message Passing Interface,Synchronization,1
Application programming interface,Programming language,1
Internet Protocol Suite,Computer,1
Robotics,Kinematics,1
Query optimization,Database management system,1
Software testing,Software development,1
Machine learning,Computer,1
Algorithm,Logic,1
Computational complexity theory,Polynomial,1
Sentiment analysis,Natural language processing,1
Virtual reality,Interactivity,1
Calculus of variations,Integral,1
Cluster analysis,Computer science,1
Linear programming,Mathematical optimization,1
Symmetric multiprocessing,Concurrency (computer science),1
Artificial intelligence,Computational science,1
Computer graphics,Computer programming,1
Machine learning,Computational science,1
Computational complexity theory,Discrete mathematics,1
String searching algorithm,Computer science,1
Computer science,Computer,1
Cryptography,Algorithm,1
Pushdown automata,Automata theory,1
String searching algorithm,Regular expression,1
Database design,Data structure,1
Martingale (probability theory),Expected value,1
Exponential family,Random variable,1
Machine translation,Natural language,1
Coding theory,Theoretical computer science,1
Analysis of algorithms,Computer programming,1
Logic,Foundations of mathematics,1
Interpolation,Numerical analysis,1
Partial differential equation,Numerical analysis,1
Theory of computation,Computer science,1
Graphical model,Probability theory,1
Time complexity,Computer science,1
Wireless sensor network,Communication,1
Quantum computer,Theoretical computer science,1
Polymorphism (computer science),Abstract data type,1
List of undecidable problems,Computability,1
Java (programming language),Data structure,1
Rendering (computer graphics),Mathematics,1
Lisp (programming language),Scope (computer science),1
Machine translation,Artificial intelligence,1
Database design,Relational model,1
Run time (program lifecycle phase),Computer science,1
Transaction processing,Database management system,1
Fast Fourier transform,Signal processing,1
Graph theory,Computational science,1
Motion planning,Robotics,1
Human-computer interaction,Interactivity,1
Knowledge representation and reasoning,Computer science,1
Recursively enumerable set,Recursion,1
Functional programming,Recursion (computer science),1
Scheduling (computing),Operating system,1
Multi-core processor,Thread (computer science),1
Graphical user interface,Computer,1
Computational complexity theory,Complexity,1
Machine learning,Algorithm,1
Analysis of algorithms,Asymptotic analysis,1
Database,Data (computing),1
Routing,Computer network,1
Undecidable problem,Mathematical proof,1
Halting problem,Computability,1
Arithmetic logic unit,Combinational logic,1
Object-oriented programming,Computer science,1
Randomized algorithm,Algorithm,1
Machine learning,Computer programming,1
Central processing unit,Computer architecture,1
Recurrence relation,Mathematics,1
Database design,Database system,1
Relational database,Relational algebra,1
Computer animation,Rendering (computer graphics),1
Processor register,Stack (data structure),1
Computational learning theory,Probability,1
Relational model,Object (computer science),1
Cache coherence,Shared memory,1
Assembly language,Programming language,1
Software testing,Control flow,1
Sentiment analysis,Document classification,1
Geometry,Matrix (mathematics),1
Parallel computing,Central processing unit,1
Visualization (computer graphics),Computer graphics,1
Model of computation,Computational complexity theory,1
Support vector machine,Algorithm,1
CPU cache,Central processing unit,1
Machine learning,Artificial intelligence,1
Virtual memory,Memory hierarchy,1
JavaScript,World Wide Web,1
Cryptanalysis,Modular arithmetic,1
Control flow,Scope (computer science),1
Graph theory,Mathematics,1
Entropy,Probability,1
Functional programming,Computer science,1
Statistical inference,Random variable,1
Software engineering,Data structure,1
Mobile device,Computer,1
Computational geometry,Computer science,1
Virtual memory,Computer architecture,1
Mathematical optimization,Mathematical model,1
Graphical model,Statistical inference,1
Algorithm design,Mathematics,1
Bayesian network,Conditional probability,1
Java (programming language),Compiler,1
Motion capture,Computer graphics,1
Hidden Markov model,Machine learning,1
Database management system,Computer science,1
Compiler,Computer programming,1
Machine learning,Statistics,1
Artificial intelligence,Mathematics,1
Object-oriented programming,Data,1
Programming language,Computer programming,1
Operating system,Computer,1
Fourier analysis,Polynomial,1
Analysis of algorithms,Graph theory,1
Data structure,Data type,1
Authentication,Information security,1
Stochastic,Probability theory,1
Stochastic process,Random variable,1
Data analysis,Problem solving,1
Mathematical optimization,Integer,1
ML (programming language),Programming language,1
Computational complexity theory,Foundations of mathematics,1
Graph coloring,Graph theory,1
Cryptography,Mathematical proof,1
Parametric polymorphism,Variable (computer science),1
Stochastic process,Probability,1
Recursively enumerable set,Finite set,1
Index (database),Computer science,1
Recursion,Logic,1
Parsing,Lexical analysis,1
Correlation and dependence,Expected value,1
Parsing,Computer programming,1
Internet Protocol Suite,Computer network,1
Software engineering,Computer programming,1
Scope (computer science),Programming language,1
Dynamic memory allocation,Operating system,1
Complexity class,Algorithm,1
Relational database,Relational model,1
Compiler,Computer architecture,1
NP (complexity),Computational complexity theory,1
Recursion,Algorithm,1
Cryptography,Probability theory,1
Deadlock,Computer multitasking,1
Scripting language,Computer,1
Recursion (computer science),Algorithm,1
Fast Fourier transform,Algorithm,1
Database management system,Database,1
Computer network,Data (computing),1
Database,Object (computer science),1
Linear programming,Matrix (mathematics),1
Finite set,Mathematics,1
Calculus,Arithmetic,1
Memory hierarchy,Computer architecture,1
Automatic programming,Computer science,1
Data mining,Algorithm,1
PSPACE,Turing machine,1
Programming paradigm,Computer science,1
Recursively enumerable set,Algorithm,1
Hash table,Data structure,1
Java (programming language),Object-oriented programming,1
Predicate logic,Foundations of mathematics,1
Software development,Computer programming,1
Dynamic programming,Algorithm design,1
Query optimization,Database,1
3D computer graphics,Image processing,1
Parallel computing,Computer science,1
Object (computer science),Computer science,1
Perl,Compiler,1
Memory management,Operating system,1
Computer vision,Algorithm design,1
Computational complexity theory,Computer science,1
Combinatorics,Mathematics,1
Natural language processing,Computer science,1
Database,Algorithm design,1
NP-complete,Computational complexity theory,1
Recursion (computer science),Computer programming,1
B-tree,Computer science,1
Lisp (programming language),Logic programming,1
Unsupervised learning,Machine learning,1
C (programming language),Computer,1
Monad (functional programming),Input/output,1
SQL,Programming language,1
Computer security,Computer,1
Linked list,Computer science,1
Distributed computing,Computer programming,1
Graph coloring,Dynamic programming,1
Artificial intelligence,Computer,1
Probability,Uncertainty,1
Cryptographic hash function,Information security,1
Poisson distribution,Probability theory,1
Malware,Computer network,1
Computational chemistry,Computer programming,1
Garbage collection (computer science),Computer science,1
Relational database,Database management system,1
Random walk,Probability theory,1
Interaction design,User interface,1
Random graph,Graph theory,1
Sparse matrix,Matrix (mathematics),1
Index (database),Computer programming,1
Geometric modeling,Computational geometry,1
Application software,Computer,1
Poisson distribution,Random variable,1
Software engineering,Theory of computation,1
Parsing,Formal grammar,1
Finite difference,Boundary value problem,1
Communications protocol,Synchronization,1
Finite difference,Polynomial,1
Computer programming,Computing,1
Python (programming language),Variable (computer science),1
Computer vision,Geometry,1
Computational complexity theory,Integer,1
Polynomial,Integer,1
Computer science,Logic,1
Parallel computing,Lock (computer science),1
Social network,Graph (mathematics),1
Pattern matching,String (computer science),1
Pattern recognition,Probability,1
Procedural programming,Computer science,1
Data structure,Computer science,1
Recursion,Control flow,1
Stochastic process,Probability theory,1
Parallel algorithm,Algorithm,1
B-tree,Data structure,1
Cryptanalysis,Information security,1
Natural language processing,Natural language,1
Martingale (probability theory),Random variable,1
Image processing,Computer programming,1
Amortized analysis,Data structure,1
Application programming interface,Computer programming,1
Speech recognition,Computer science,1
Multi-core processor,Parallel computing,1
Linear system,Matrix (mathematics),1
Statistics,Randomness,1
Arithmetic logic unit,Digital electronics,1
Statistical inference,Data,1
Python (programming language),Object-oriented programming,1
Interactivity,Computer science,1
Concurrent computing,Computer,1
Ordinary differential equation,Nonlinear system,1
Algorithm,Combinatorics,1
Computer animation,Mathematics,1
Functional programming,Recursion,1
Multi-core processor,Central processing unit,1
Imperative programming,Programming language,1
Computational complexity theory,Computational problem,1
Hidden Markov model,Markov chain,1
Object-oriented programming,High-level programming language,1
Programming language,Data structure,1
Lisp (programming language),Functional programming,1
3D modeling,Algorithm,1
