source_node_id,target_node_id
137,369
130,223
97,138
92,3
102,27
64,9
47,272
54,365
121,327
252,200
233,78
346,34
194,302
132,185
47,223
82,182
31,69
250,292
214,69
235,168
50,69
59,181
262,69
219,3
23,3
211,59
101,361
169,3
124,19
69,8
208,327
262,59
39,377
41,279
276,371
119,389
78,304
39,137
3,115
88,223
5,165
17,157
210,69
226,3
147,69
294,118
185,182
27,62
111,82
79,10
34,50
165,327
94,8
68,365
69,181
208,3
176,27
347,9
3,380
296,383
79,102
10,359
157,80
190,223
211,288
331,23
167,27
351,61
232,223
190,41
232,13
319,367
116,13
63,253
182,52
52,69
142,34
59,354
160,97
219,114
128,250
291,175
0,177
114,235
199,69
86,327
187,69
114,328
136,328
111,10
48,355
102,374
139,62
316,120
212,256
161,8
133,28
3,270
322,3
14,397
83,7
146,390
278,223
208,377
10,120
317,8
326,3
222,118
0,19
68,327
137,47
343,10
175,165
38,377
24,8
290,69
335,59
12,69
103,370
18,251
181,356
115,327
8,353
177,272
30,357
98,188
3,80
103,371
20,223
342,52
175,44
68,355
82,3
183,377
90,69
44,383
195,3
112,77
274,24
57,23
200,61
274,205
242,177
58,120
34,102
118,88
37,69
251,8
286,173
39,356
37,157
24,9
68,3
55,327
32,182
251,27
309,3
279,223
106,182
350,298
298,297
181,8
69,13
70,327
91,327
63,69
23,13
68,384
173,8
68,19
285,3
145,122
68,13
327,363
3,367
168,367
161,116
167,381
43,13
283,236
125,165
243,102
135,3
148,223
97,88
161,205
90,8
349,279
55,68
274,64
45,8
334,120
230,355
295,47
53,393
126,327
272,175
97,358
4,118
136,114
78,327
193,97
13,181
164,223
102,200
225,10
23,8
258,59
122,19
292,223
55,94
152,185
63,13
294,223
117,41
78,165
84,13
58,361
312,404
29,19
68,5
159,168
24,40
110,356
188,8
129,118
27,168
245,384
70,151
312,78
345,102
147,13
223,357
146,47
106,151
24,40
37,59
58,356
276,110
8,80
176,139
314,279
99,55
22,27
70,44
261,8
47,8
28,361
218,8
57,327
25,50
89,8
2,177
78,353
135,13
85,13
6,13
114,383
109,401
72,97
34,68
143,27
229,279
9,356
171,10
271,118
167,361
215,236
171,3
200,327
10,102
98,288
182,80
96,95
25,13
108,80
146,198
34,13
141,8
9,181
281,97
110,118
212,24
50,13
340,131
114,3
184,118
2,94
69,288
31,9
142,243
143,139
267,203
331,311
247,118
242,327
0,70
58,10
27,115
217,19
269,361
172,90
263,118
48,118
126,375
172,69
8,175
22,3
77,10
193,3
105,361
64,24
198,223
336,13
25,63
169,368
200,401
38,47
74,200
17,368
51,361
63,90
123,27
99,86
232,236
257,69
86,23
3,355
34,396
74,114
29,361
38,35
3,70
307,223
198,268
43,3
134,200
221,395
251,3
157,8
139,8
2,352
30,388
211,386
78,19
324,8
50,8
230,27
231,47
300,373
105,19
40,180
29,359
118,236
185,135
102,13
13,383
47,103
342,13
264,25
205,372
0,327
344,8
321,23
115,175
148,63
27,367
243,355
41,37
145,8
68,27
21,13
328,367
10,3
52,95
300,120
66,169
138,27
189,3
10,296
117,181
206,177
124,361
53,311
17,69
167,3
152,325
95,69
37,379
139,327
37,17
264,52
145,10
237,364
82,94
111,122
268,47
181,354
50,181
290,180
58,28
204,8
126,86
50,27
101,120
13,27
300,356
296,7
148,13
181,90
228,8
63,228
313,120
156,200
167,373
23,278
264,69
56,61
220,13
297,352
236,355
269,373
325,223
154,181
9,354
245,114
83,19
184,402
75,8
3,80
122,373
301,13
150,356
26,3
103,3
166,279
139,386
76,175
109,13
339,327
227,219
212,9
23,366
61,327
138,139
119,134
27,3
25,181
15,3
41,368
36,97
177,175
112,10
250,69
262,317
85,8
49,360
150,359
75,41
3,8
99,23
229,49
47,356
192,86
277,223
74,362
102,177
6,94
162,370
82,384
244,307
240,288
227,245
111,120
217,361
102,80
180,8
126,23
167,384
330,327
296,327
17,240
254,3
249,61
125,5
86,382
205,8
248,139
145,102
1,3
13,80
323,19
123,3
185,13
127,272
39,391
259,348
302,223
54,69
9,94
244,13
68,387
224,28
27,327
58,19
115,355
3,168
315,13
312,377
274,147
125,266
6,8
208,78
63,180
196,223
273,114
8,177
118,223
12,13
135,69
16,182
283,349
299,69
154,356
235,327
112,2
123,8
153,88
237,7
33,223
48,8
54,8
197,47
260,23
246,361
287,223
232,69
40,266
4,13
8,223
116,94
284,220
63,378
76,80
100,272
272,327
177,327
113,27
139,355
151,327
15,339
69,223
35,369
40,9
41,8
10,114
161,9
17,8
143,8
68,177
317,13
241,47
265,19
245,8
220,117
131,120
160,23
50,63
15,359
78,377
213,185
212,40
1,327
10,8
24,9
209,223
87,327
81,327
40,90
59,13
39,35
95,12
31,8
205,9
97,236
177,365
134,168
137,35
304,175
200,168
300,361
2,298
78,183
78,27
10,365
119,81
62,8
235,61
134,327
205,399
111,102
1,80
14,188
49,88
37,352
41,69
149,383
24,24
37,3
55,3
332,8
179,173
102,365
172,12
31,102
27,288
120,376
93,13
192,23
187,317
23,223
113,8
92,8
196,118
31,3
303,48
93,69
127,122
24,372
34,8
200,362
45,181
212,181
11,69
203,13
138,8
54,181
33,118
7,327
144,3
282,200
106,3
187,8
171,102
100,177
221,52
219,61
216,200
94,327
8,327
1,8
9,180
81,394
159,119
10,223
279,8
159,200
310,327
200,3
42,9
2,225
102,181
47,354
69,386
23,56
280,223
211,157
39,163
93,223
21,3
155,69
315,52
84,185
308,8
211,8
182,3
82,327
228,223
127,19
34,400
283,118
57,56
102,69
114,367
26,55
323,373
221,69
86,223
155,13
191,120
320,181
37,94
63,356
341,120
335,8
161,13
94,3
55,223
127,359
92,367
122,359
121,3
97,13
255,320
142,346
9,118
223,383
46,359
13,365
3,236
302,13
10,177
185,8
267,3
101,356
147,9
140,359
37,258
126,55
201,8
55,365
51,19
2,10
234,102
250,8
10,94
328,327
40,356
73,223
293,101
37,240
118,325
48,97
179,354
202,61
37,13
214,319
286,181
288,8
78,35
4,223
171,191
35,327
58,405
50,342
123,165
158,8
126,99
60,13
14,13
82,8
97,392
