Statistical inference,depend_on_c,Random variable
Internet Protocol Suite,depend_on_c,Computer
Approximation algorithm,depend_on_c,Introduction to Algorithms
Autonomous robot,depend_on_c,Robot
System programming,depend_on_c,Computer programming
Natural language processing,depend_on_c,Artificial intelligence
System programming,depend_on_c,Operating system
Linear algebra,depend_on_c,Matrix (mathematics)
Lexical analysis,depend_on_c,Regular expression
Cryptography,depend_on_c,Information security
Randomized algorithm,depend_on_c,Computational complexity theory
SQL,depend_on_c,Computer programming
Semidefinite programming,depend_on_c,Linear programming
Database system,depend_on_c,Database
Vector processor,depend_on_c,Parallel computing
Stochastic process,depend_on_c,Probability theory
Software development,depend_on_c,Object-oriented programming
Analysis of algorithms,depend_on_c,Mathematics
Human-computer interaction,depend_on_c,Interactivity
Programming paradigm,depend_on_c,Computer science
Visualization (computer graphics),depend_on_c,Computer graphics
Eigenvalues and eigenvectors,depend_on_c,Matrix (mathematics)
Martingale (probability theory),depend_on_c,Expected value
Computer programming,depend_on_c,Arithmetic
Central processing unit,depend_on_c,Computer
Cryptanalysis,depend_on_c,Mathematics
Hash table,depend_on_c,Data (computing)
Markov chain,depend_on_c,Probability theory
Instruction set,depend_on_c,Computer
GPU,depend_on_c,Parallel computing
Numerical analysis,depend_on_c,Algorithm
Neural network,depend_on_c,Artificial intelligence
Haskell (programming language),depend_on_c,Functional programming
Machine learning,depend_on_c,Algorithm design
Database,depend_on_c,Operating system
Linear programming,depend_on_c,Algorithm
Relational model,depend_on_c,Object (computer science)
OSI model,depend_on_c,Computer network
Perl,depend_on_c,Computer
Model of computation,depend_on_c,Computation
Virtual reality,depend_on_c,Computer graphics
Computer software,depend_on_c,Computer
Memory management,depend_on_c,Operating system
Sentiment analysis,depend_on_c,Document classification
Image processing,depend_on_c,Computer programming
Monad (functional programming),depend_on_c,Functional programming
Concurrency (computer science),depend_on_c,Computer science
Computational geometry,depend_on_c,Computer
Object-oriented programming,depend_on_c,Design pattern (computer science)
ML (programming language),depend_on_c,Functional programming
Ordinary differential equation,depend_on_c,Numerical analysis
Unix,depend_on_c,Operating system
Queue (data structure),depend_on_c,Array data structure
Assembly language,depend_on_c,Computer science
Dynamic memory allocation,depend_on_c,Operating system
Computer programming,depend_on_c,Computational complexity theory
Finite set,depend_on_c,Mathematics
Lisp (programming language),depend_on_c,Programming language
Halting problem,depend_on_c,Turing machine
Firewall (computing),depend_on_c,Computer security
Algorithm,depend_on_c,Computation
Calculus,depend_on_c,Arithmetic
Data structure,depend_on_c,Data
Algorithm,depend_on_c,Integer
Computer security,depend_on_c,Mathematics
"Best, worst and average case",depend_on_c,Computer science
Mathematical optimization,depend_on_c,Algorithm
Reinforcement learning,depend_on_c,Machine learning
Estimation theory,depend_on_c,Statistical inference
NP-complete,depend_on_c,Computational complexity theory
Programmer,depend_on_c,Programming language
Random walk,depend_on_c,Graph (mathematics)
Boundary value problem,depend_on_c,Partial differential equation
CPU cache,depend_on_c,Central processing unit
Compiler,depend_on_c,Computer architecture
Prolog,depend_on_c,String (computer science)
Database management system,depend_on_c,Database transaction
Propositional calculus,depend_on_c,Logic
Newton's method,depend_on_c,Mathematical optimization
Graph coloring,depend_on_c,Graph theory
Computational geometry,depend_on_c,Algorithm design
Correlation and dependence,depend_on_c,Data
Newton's method,depend_on_c,Approximation
Concurrency control,depend_on_c,Computer programming
String (computer science),depend_on_c,Data (computing)
Functional programming,depend_on_c,Computer programming
Recursion (computer science),depend_on_c,Programming language
Information theory,depend_on_c,Probability theory
Knowledge representation and reasoning,depend_on_c,Logic
Knowledge representation and reasoning,depend_on_c,Computer science
Inter-process communication,depend_on_c,Operating system
Pipeline (computing),depend_on_c,Central processing unit
User interface,depend_on_c,Computer programming
Time complexity,depend_on_c,Computer science
Random graph,depend_on_c,Mathematics
Rendering (computer graphics),depend_on_c,Shading
Ordinary differential equation,depend_on_c,Polynomial
Assembly language,depend_on_c,Programming language
Imperative programming,depend_on_c,Computer
Object-oriented programming,depend_on_c,Computer programming
Cluster analysis,depend_on_c,Computer science
Programming language,depend_on_c,Data structure
Index (database),depend_on_c,Computer programming
Hidden Markov model,depend_on_c,Markov chain
Robotics,depend_on_c,Analysis of algorithms
Analysis of algorithms,depend_on_c,Asymptotic analysis
Algorithm,depend_on_c,Iterative method
Monte Carlo method,depend_on_c,Statistical inference
Autonomous robot,depend_on_c,Robotics
Artificial intelligence,depend_on_c,Numerical analysis
Computational geometry,depend_on_c,Algorithm
Ordinary differential equation,depend_on_c,Nonlinear system
Web server,depend_on_c,Computer
Pushdown automata,depend_on_c,Finite-state machine
Algorithm,depend_on_c,Logic
Multi-core processor,depend_on_c,Thread (computer science)
Lazy evaluation,depend_on_c,Programming language
Traffic analysis,depend_on_c,Cryptography
Operating system,depend_on_c,Input/output
Network security,depend_on_c,Computer network
Deadlock,depend_on_c,Operating system
Firewall (computing),depend_on_c,Information assurance
Turing machine,depend_on_c,Finite-state machine
