source_node_id,target_node_id
45,83
321,285
82,83
343,202
42,370
382,83
10,379
157,285
82,345
114,379
24,10
343,1
311,379
246,8
97,285
343,383
114,239
66,202
10,311
114,83
82,8
88,285
197,285
97,69
135,8
97,0
66,0
241,8
257,383
135,370
317,370
85,311
318,285
338,10
26,285
363,10
66,1
215,317
337,379
363,379
257,311
42,202
281,45
97,399
135,83
257,83
337,285
11,247
82,10
327,83
308,311
114,247
45,10
114,363
222,285
85,1
257,202
367,179
66,10
97,379
11,379
385,8
298,1
343,285
0,69
337,370
245,83
377,345
45,42
377,311
161,8
135,379
363,345
135,345
241,311
377,8
318,179
157,83
