A,B,result
SQL,Programming_language,1
Memory_management,Computing,1
Distributed_computing,Discrete_mathematics,1
Number_theory,Atomicity_(database_systems),0
Computational_complexity_theory,Complexity,1
Embedded_system,Instruction_set,0
Finite-state_machine,Foundations_of_mathematics,1
Concurrent_computing,Central_processing_unit,0
3D_modeling,Application_programming_interface,0
Scientific_visualization,P_versus_NP_problem,0
Compiler_optimization,Deadlock,0
Cryptographic_hash_function,Probability_theory,1
Kinematics,Natural_language_processing,0
Halting_problem,Automata_theory,1
String_searching_algorithm,Algorithm,1
Superscalar,Very_long_instruction_word,0
Data,Statistical_inference,0
Shortest_path_problem,Algorithm,1
Python_(programming_language),Data,1
Parsing,Automata_theory,1
Statistical_hypothesis_testing,Computational_geometry,0
Volume_rendering,Algorithm_design,1
PageRank,Routing,0
Parametric_polymorphism,Theoretical_computer_science,0
Query_language,Vulnerability_(computing),0
Peer-to-peer,Lexical_analysis,0
Communications_protocol,Logic,1
Cloud_computing,Computer,1
Algebra,Debugging,0
Internet_Protocol_Suite,Arithmetic,1
Communications_protocol,Computing,1
Arithmetic_logic_unit,Scalability,0
Large_deviations_theory,Relational_database,0
Random_graph,Conditional_probability,0
Shading,Wavelet,0
Java_(programming_language),Object-oriented_programming,1
Randomness,Unix,0
Index_(database),Algorithm_design,1
Automata_theory,Continuous_function,0
Logic_programming,Computing,1
Support_vector_machine,Poisson_distribution,0
Type_system,Data_structure,1
Randomization,Computer_simulation,0
Web_server,Halting_problem,0
Monte_Carlo_method,Algorithm,1
Cache_coherence,Computing,1
Programming_style,Rendering_(computer_graphics),0
NP_(complexity),Computation,1
SQL,Computational_science,1
Combinatorics,Big_data,0
Virtual_memory,Rendering_(computer_graphics),0
Divide_and_conquer_algorithm,Recursion,1
Inter-process_communication,Digital_electronics,0
3D_computer_graphics,Shared_memory,0
Functional_programming,Virtual_reality,0
Sequence_alignment,Shading,0
Document_classification,Logic,1
Compiler_optimization,Context-free_grammar,0
Software_design,Computer_programming,1
Data_mining,Superscalar,0
Database_management_system,Relational_algebra,1
Concurrency_(computer_science),Regular_expression,0
Expert_system,Theory_of_computation,0
Instruction_set,Arithmetic,1
Concurrency_control,Data_structure,1
Data_(computing),Analysis_of_algorithms,0
Polynomial,Structured_programming,0
C_(programming_language),Automata_theory,1
Interface_(computing),Database,0
Stack_(data_structure),Mechanical_engineering,0
First-order_logic,Rendering_(computer_graphics),0
Computer_simulation,Randomization,0
Imperative_programming,Computability,1
Peer-to-peer,Software_design,0
Automatic_programming,Data_structure,1
B-tree,Complexity_class,0
Neural_network,Computational_science,1
Virtual_memory,Computer_programming,1
Poisson_distribution,Concurrent_computing,0
Scientific_visualization,Algorithm_design,1
Computer,Signal_processing,0
Automated_planning_and_scheduling,Geometry,0
Arithmetic_logic_unit,Procedural_programming,0
Parallel_computing,Discrete_mathematics,1
Java_(programming_language),Data_type,1
Graphical_user_interface,Regular_language,0
Database_management_system,Data_(computing),1
Approximation_algorithm,Memory_hierarchy,0
Correlation_and_dependence,Shortest_path_problem,0
Compiler,Computer,1
Stack_(data_structure),Database_design,0
Suffix_tree,Data_mining,0
Design_of_experiments,Statistical_inference,1
Semantics,Database_transaction,0
Hidden_line_removal,Numerical_analysis,0
Transaction_processing,Knowledge_representation_and_reasoning,0
Algebra,User_interface,0
Automata_theory,Conditional_probability,0
Peer-to-peer,C++,0
Undecidable_problem,Polynomial,1
Parallel_algorithm,Combinatorics,1
Stochastic,String_(computer_science),0
Lexical_analysis,Discrete_mathematics,1
OSI_model,Introduction_to_Algorithms,0
Lisp_(programming_language),Logic_programming,1
Abstraction_(computer_science),Social_network,0
Numerical_analysis,Computing,1
Lexical_analysis,Theory_of_computation,1
Randomness,Mathematics,1
Context-free_language,Cryptography,0
Peer-to-peer,Context-free_language,0
Software_development,Object_(computer_science),1
JavaScript,Computer,1
Congestion_control,Graph_(mathematics),1
Correlation_and_dependence,Computational_learning_theory,0
Support_vector_machine,Mathematics,1
Lisp_(programming_language),Monad_(functional_programming),0
Compiler,Natural_language,1
Database_normalization,Object_(computer_science),1
Concurrency_control,Computation,1
NP_(complexity),Integer,1
Graphics_processing_unit,Regular_language,0
MapReduce,Arithmetic,0
Newton's_method,Floating_point,1
Public-key_cryptography,Algorithm,1
Machine_translation,Foundations_of_mathematics,1
Operating_system,Computer,1
Statistical_hypothesis_testing,Halting_problem,0
Quantum_mechanics,Martingale_(probability_theory),0
Sentiment_analysis,Machine_learning,1
Continuous_function,Abstraction_(computer_science),0
Routing,Lazy_evaluation,0
Distributed_computing,Computer_science,1
Amortized_analysis,Pipeline_(computing),0
Context-free_grammar,Graph_theory,1
Multiplication,Lexical_semantics,0
Distributed_algorithms,Discrete_mathematics,1
Computational_chemistry,Number_theory,1
PSPACE,Polynomial,1
Logic_programming,Calculus,0
Sentiment_analysis,Computer_programming,1
Speech_recognition,Probability_theory,1
Numerical_analysis,Foundations_of_mathematics,1
Data_structure,Computer,1
C_(programming_language),Problem_solving,0
Knowledge_representation_and_reasoning,Computer,1
Estimation_theory,Digital_electronics,0
String_searching_algorithm,Algorithm_design,0
Computational_problem,Rendering_(computer_graphics),0
Functional_programming,Computational_complexity_theory,1
Semantics_of_programming_languages,Queue_(data_structure),0
Transaction_processing,Object_(computer_science),1
String_(computer_science),Data_type,1
Haskell_(programming_language),Time_complexity,0
Machine_learning,Computer,1
Symmetric_multiprocessing,Machine_learning,0
Probability_theory,Foundations_of_mathematics,1
Computational_geometry,Computing,1
Monad_(functional_programming),Scalability,0
Central_processing_unit,Computer_science,1
Superscalar,Computer_science,1
Computer_programming,Formal_language,0
NP_(complexity),Computer,1
Sequence_alignment,Internet_Protocol_Suite,0
Prolog,Mutual_exclusion,0
Programming_style,Computational_complexity_theory,1
Finite_element_method,Run_time_(program_lifecycle_phase),0
Recommender_system,Vulnerability_(computing),0
Procedural_programming,Arithmetic,0
Problem_solving,Message_Passing_Interface,0
Number_theory,Data_mining,0
PSPACE,Computational_problem,1
Computability,Interpolation,0
Time_complexity,Foundations_of_mathematics,1
Web_search_engine,Mathematical_induction,1
Least_squares,Approximation,1
Interactivity,Computer_science,1
Compiler_optimization,Mobile_device,0
Index_(database),Relational_model,1
Hash_table,Computer_science,1
Programming_language,Data_structure,1
Inequality_(mathematics),Scripting_language,0
Finite_difference,Human-computer_interaction,0
Relational_database_management_system,Relational_algebra,1
Gradient_descent,Mathematics,1
Volume_rendering,Graphics,1
Artificial_intelligence,Computational_geometry,0
Floating_point,Web_service,0
Finite_set,Approximation_algorithm,0
Processor_register,World_Wide_Web,0
Approximation,Computability,0
Database_management_system,Data,1
Parsing,Natural_language,1
Machine_translation,Computer_programming,1
Robotics,Artificial_intelligence,1
Round-off_error,Computer_security,0
Parsing,Markov_chain,0
Memory_management,Computer_programming,1
Expert_system,Database_normalization,0
ML_(programming_language),Software_development,0
Monte_Carlo_method,Iterative_method,1
Procedural_programming,B-tree,0
Artificial_intelligence,Quantum_cryptography,0
JavaScript,Computational_science,1
Parsing,Data,1
Computer_vision,Computability,0
Data_structure,Computer_multitasking,0
CPU_cache,Central_processing_unit,1
Linear_programming,Iterative_method,1
Concurrency_control,Foundations_of_mathematics,1
Concurrency_control,Mathematics,1
Computer,"Best,_worst_and_average_case",0
First-order_logic,Big_data,0
Dynamic_programming,Computation,1
Computational_complexity_theory,Iterative_method,1
Abstraction_(computer_science),Procedural_programming,0
Recommender_system,Data_structure,0
Semidefinite_programming,Introduction_to_Algorithms,1
Web_browser,Application_programming_interface,0
Computer_programming,Number_theory,1
Algorithm_design,Exponential_family,0
Support_vector_machine,Polynomial,1
Modular_programming,Theoretical_computer_science,0
Software_engineering,Foundations_of_mathematics,1
Operating_system,Hidden_Markov_model,0
Java_(programming_language),Recursively_enumerable_set,0
Randomized_algorithm,Program_optimization,0
Computational_complexity_theory,Integer,1
MATLAB,Computer,1
Theoretical_computer_science,Graph_theory,1
Internet,Regular_expression,0
Kernel_(computing),Computer,1
Recursively_enumerable_set,Finite_set,1
Concurrency_(computer_science),Computing,1
Variable_(computer_science),Arithmetic,1
Bioinformatics,Asymptotic_analysis,1
Scheduling_(computing),Computation,1
Mathematical_induction,Calculus_of_variations,0
Database,Algebra,0
Natural_language,Semantics_of_programming_languages,0
Software_development,3D_computer_graphics,0
Computational_learning_theory,Logic_programming,0
Shared_memory,Randomness,0
Kernel_(computing),Program_analysis,0
Analysis_of_algorithms,Arithmetic,1
Malware,Graph_(mathematics),1
Scalability,Sentiment_analysis,0
Robotics,Turing_machine,1
Theoretical_computer_science,Pattern_recognition,0
Virtual_reality,Computer_graphics,1
Authentication,Data_analysis,0
Array_data_structure,Application_software,0
Computability,Unix,0
Recursion,Stochastic_process,0
Polymorphism_(computer_science),Computer_science,1
Object_(computer_science),Computer_science,1
Data_type,Automata_theory,1
Object_(computer_science),Computability,0
Part-of-speech_tagging,Kalman_filter,0
Scripting_language,Differential_equation,0
Pattern_recognition,String_searching_algorithm,0
Debugging,Computer_programming,1
Software_design,Algorithm,1
Speech_recognition,Foundations_of_mathematics,1
Prolog,Data_structure,1
Data_mining,Control_flow,0
Web_browser,Computer,1
Combinational_logic,Algebra,0
Cryptanalysis,Uncertainty,0
Random_graph,Object_(computer_science),0
Document_classification,Probability_theory,1
String_searching_algorithm,Graph_theory,1
Algorithm,Logic,1
Fast_Fourier_transform,Pattern_matching,0
Cloud_computing,Graph_(mathematics),1
Database_system,Computer_science,1
OSI_model,Computer_network,1
Social_network,Variable_(computer_science),0
Linear_programming,Mathematical_optimization,1
Coding_theory,Theoretical_computer_science,1
String_(computer_science),Formal_grammar,0
Virtual_memory,Linear_algebra,0
Pattern_recognition,Mathematics,1
Sentiment_analysis,Relational_database_management_system,0
Support_vector_machine,Problem_solving,1
Array_data_structure,Cluster_analysis,0
Thread_(computer_science),Prediction,0
Entropy,Graph_(mathematics),0
Atomicity_(database_systems),Database,1
Discrete_mathematics,Formal_language,0
Graph_coloring,Algorithm_design,1
Inequality_(mathematics),Database_normalization,0
Concurrent_computing,Arithmetic,1
C++,Computational_complexity_theory,1
Automata_theory,Model_checking,0
Part-of-speech_tagging,Predicate_logic,0
Finite_element_method,Numerical_analysis,1
Complexity,Linear_programming,0
Modular_arithmetic,Mathematical_proof,1
B-tree,Mathematics,1
Theoretical_computer_science,Computer,1
Artificial_intelligence,Mathematical_induction,1
Shared_memory,Operating_system,0
Sentiment_analysis,Natural_language_processing,1
Network_security,Shading,0
Finite-state_machine,Discrete_mathematics,1
Automated_theorem_proving,Mathematics,1
Software_design,Computing,1
Computer_graphics,Computing,1
Artificial_intelligence,Digital_electronics,1
Combinational_logic,Uncertainty,0
Boundary_value_problem,Signal_processing,0
Fourier_analysis,Volume_rendering,0
Algorithm,Abstraction_(computer_science),1
Halting_problem,Computation,1
Model_of_computation,Polynomial,1
Decision_theory,MATLAB,0
Volume_rendering,Discrete_mathematics,0
Programming_paradigm,Number_theory,1
Monte_Carlo_method,Logic,1
Web_browser,Information_theory,0
Database_management_system,Graph_theory,1
3D_computer_graphics,Query_optimization,0
Natural_language_processing,Computer_science,1
Information_theory,Input/output,0
Programming_style,Computer_science,1
Virtual_reality,Data,1
Graphical_user_interface,Combinatorics,0
Machine_translation,Computation,1
Kalman_filter,NP_(complexity),0
Java_(programming_language),Data,1
Index_(database),Data,1
Social_network,Firewall_(computing),0
Lexical_analysis,Markov_chain,0
Software_engineering,Support_vector_machine,0
Genetic_algorithm,Newton's_method,0
Abstraction_(computer_science),Shared_memory,0
Symbol_table,Computer_programming,1
Traffic_analysis,Recommender_system,0
Computer_programming,Arithmetic,1
Computational_complexity_theory,Neural_network,0
Feature_extraction,Integer,1
Gradient_descent,Integer,1
Dynamic_programming,Computer,1
Graph_theory,Discrete_mathematics,1
Haskell_(programming_language),Logic,1
Profiling_(computer_programming),Arithmetic,1
Regular_expression,High-level_programming_language,0
Compiler,Regular_expression,1
Matrix_(mathematics),Security,0
Probability,OSI_model,0
Interpolation,Matrix_(mathematics),1
Combinatorics,Graph_theory,0
JavaScript,Computing,1
Economics,Random_variable,1
JavaScript,Internet_Protocol_Suite,0
Flow_network,Wireless_sensor_network,0
Application_programming_interface,Computational_complexity_theory,1
Mechanical_engineering,Machine_learning,0
Computational_chemistry,Foundations_of_mathematics,1
Decision_theory,Computer_science,1
Coding_theory,Computer_science,1
SQL,Integer,0
MATLAB,Algorithm_design,0
Stochastic_process,Uncertainty,1
Shading,Encryption,0
Autonomous_robot,Computation,1
Model_of_computation,Computer,1
Computer_security,Logic,1
Poisson_distribution,Randomization,0
Inequality_(mathematics),Nonlinear_system,0
Graphical_model,Statistics,1
Robotics,Logic,1
Relational_model,Formal_language,0
Robot,Run_time_(program_lifecycle_phase),0
Relational_database_management_system,Sequence_alignment,0
Program_optimization,Software_engineering,0
Shortest_path_problem,Recursively_enumerable_set,0
Expert_system,Algorithm,1
Machine_learning,Computer_science,1
PageRank,Matrix_(mathematics),0
Coding_theory,Traffic_analysis,0
Robotics,Programming_language,1
Analysis_of_algorithms,Model_checking,0
Interactivity,Martingale_(probability_theory),0
Internet_Protocol_Suite,Sufficient_statistic,0
Context-free_grammar,Number_theory,1
Spanning_tree,Foundations_of_mathematics,1
Quantum_computer,Automated_planning_and_scheduling,0
Graph_coloring,OSI_model,0
Analysis_of_algorithms,Introduction_to_Algorithms,1
Calculus,Assembly_language,0
Type_system,Amortized_analysis,0
C++,Congestion_control,0
Reinforcement_learning,Numerical_analysis,1
Parallel_algorithm,Theoretical_computer_science,1
Database_normalization,Data_(computing),1
Lexical_semantics,Semantics,1
Knowledge_representation_and_reasoning,Mathematical_induction,1
JavaScript,Finite_difference,0
Big_data,Logic,1
Pattern_recognition,Computer_science,1
MapReduce,Computer_science,1
Computer_security,Computer,1
Part-of-speech_tagging,Computer_simulation,0
Introduction_to_Algorithms,Control_flow,0
Control_flow,Digital_electronics,1
Quantum_mechanics,Algorithm,0
Interpolation,Algorithm,1
Hidden_line_removal,Discrete_mathematics,1
Discrete_mathematics,Combinatorics,0
Divide_and_conquer_algorithm,Algorithm,1
PSPACE,Computation,1
Mechanical_engineering,Round-off_error,0
Sequence_alignment,Arithmetic,0
Computational_geometry,Problem_solving,1
Regular_language,NP-complete,0
Computer_security,Security,1
Undecidable_problem,Mutual_exclusion,0
Mobile_device,Computer,1
Transaction_processing,Foundations_of_mathematics,1
Pattern_matching,Variable_(computer_science),1
Model_of_computation,Finite-state_machine,0
Software_framework,Natural_language_processing,0
Lexical_analysis,Regular_expression,1
Analysis_of_algorithms,Computational_science,1
User_interface,Logic,1
Type_system,Computer_science,1
Modular_programming,Programming_language,1
Integer,Memory_hierarchy,0
Concurrency_(computer_science),Denotational_semantics,0
Newton's_method,Algorithm,1
Machine_translation,Combinatorics,1
Concurrency_(computer_science),Recurrence_relation,0
SQL,Scalability,0
Question_answering,Graph_theory,1
Atomicity_(database_systems),Part-of-speech_tagging,0
Divide_and_conquer_algorithm,Computation,1
Array_data_structure,Semantics,0
Uncertainty,World_Wide_Web,0
Database_design,Signal_processing,0
